,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportions,Sample
0,188,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_139,recG_6,rplB_11,uvrA_124,0.002485096750229756,s4
1,189,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_139,recG_6,rplB_11,uvrA_7,0.04496573113793125,s4
2,190,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_139,recG_6,rplB_11,uvrA_122,0.002319790991343617,s4
3,192,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_139,recG_6,rplB_1,uvrA_7,0.07778411777780266,s4
4,194,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_139,recG_6,rplB_3,uvrA_124,0.0024871475338487208,s4
5,195,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_139,recG_6,rplB_3,uvrA_7,0.005154528327292452,s4
6,196,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_139,recG_6,rplB_3,uvrA_122,0.0023218417749625887,s4
7,197,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_139,recG_6,rplB_186,uvrA_124,0.0024776346589007008,s4
8,198,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_139,recG_6,rplB_186,uvrA_7,0.002314821751099561,s4
9,199,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_139,recG_6,rplB_186,uvrA_122,0.0023123289000145687,s4
10,200,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_139,recG_6,rplB_8,uvrA_124,0.0024866780127530894,s4
11,201,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_139,recG_6,rplB_8,uvrA_7,0.008980729522569675,s4
12,202,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_139,recG_6,rplB_8,uvrA_122,0.0023213722538669573,s4
13,203,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_139,recG_6,rplB_188,uvrA_124,0.0003578611178950662,s4
14,204,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_139,recG_6,rplB_188,uvrA_7,0.0005350229351469091,s4
15,205,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_139,recG_6,rplB_188,uvrA_122,0.0005592442142666812,s4
16,224,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_225,recG_6,rplB_11,uvrA_124,0.0026174239611707027,s4
17,225,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_225,recG_6,rplB_11,uvrA_7,0.03698239250437913,s4
18,226,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_225,recG_6,rplB_11,uvrA_122,0.002452118202284574,s4
19,228,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_225,recG_6,rplB_1,uvrA_7,0.0698007791442505,s4
20,230,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_225,recG_6,rplB_3,uvrA_124,0.0026194747447896745,s4
21,231,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_225,recG_6,rplB_3,uvrA_7,0.004864867346927787,s4
22,232,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_225,recG_6,rplB_3,uvrA_122,0.0024541689859035425,s4
23,233,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_225,recG_6,rplB_186,uvrA_124,0.0026099618698416475,s4
24,234,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_225,recG_6,rplB_186,uvrA_7,0.0024099578037060834,s4
25,235,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_225,recG_6,rplB_186,uvrA_122,0.0024446561109555155,s4
26,236,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_225,recG_6,rplB_8,uvrA_124,0.0026190052236940327,s4
27,237,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_225,recG_6,rplB_8,uvrA_7,0.006005956871319915,s4
28,238,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_225,recG_6,rplB_8,uvrA_122,0.0024536994648079076,s4
29,239,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_225,recG_6,rplB_188,uvrA_124,0.00036090524666228946,s4
30,240,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_225,recG_6,rplB_188,uvrA_7,0.0006187943536113336,s4
31,241,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_225,recG_6,rplB_188,uvrA_122,0.00040336151401748274,s4
32,260,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_9,recG_6,rplB_11,uvrA_124,0.0022104325744644986,s4
33,261,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_9,recG_6,rplB_11,uvrA_7,0.0028579769779786372,s4
