,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion,Sample
0,4020,New,clpA_4,clpX_6,nifS_3,pepX_3,pyrG_3,recG_3,rplB_3,uvrA_3,0.386000001,SRR2034355
1,4021,New,clpA_4,clpX_4,nifS_1,pepX_3,pyrG_3,recG_3,rplB_3,uvrA_3,0.114000001,SRR2034355
2,1,Existing,clpA_4,clpX_4,nifS_3,pepX_3,pyrG_3,recG_3,rplB_3,uvrA_3,0.499999999,SRR2034355
3,1279,New,clpA_4,clpX_151,nifS_1,pepX_1,pyrG_2,recG_6,rplB_1,uvrA_7,0.516,SRR2034336
4,1724,New,clpA_4,clpX_11,nifS_14,pepX_1,pyrG_9,recG_137,rplB_1,uvrA_122,0.111,SRR2034336
5,2122,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_139,recG_6,rplB_8,uvrA_7,0.225,SRR2034336
6,2187,New,clpA_4,clpX_119,nifS_14,pepX_139,pyrG_139,recG_6,rplB_3,uvrA_124,0.148,SRR2034336
7,15,Existing,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.789,SRR2034333
8,16,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_8,0.211,SRR2034333
9,23,New,clpA_8,clpX_1,nifS_1,pepX_1,pyrG_4,recG_15,rplB_1,uvrA_7,0.489,SRR2034339
10,24,Existing,clpA_8,clpX_1,nifS_1,pepX_1,pyrG_4,recG_16,rplB_1,uvrA_7,0.511,SRR2034339
11,3302,Existing,clpA_6,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_19,0.246,SRR2034348
12,330,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.351,SRR2034348
13,3522,Existing,clpA_9,clpX_1,nifS_1,pepX_7,pyrG_1,recG_6,rplB_1,uvrA_10,0.403,SRR2034348
14,3759,New,clpA_6,clpX_1,nifS_1,pepX_1,pyrG_2,recG_8,rplB_2,uvrA_8,0.307,SRR2034354
15,14,Existing,clpA_6,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_8,0.35,SRR2034354
16,22,New,clpA_4,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_8,0.182,SRR2034354
17,3978,New,clpA_12,clpX_1,nifS_5,pepX_7,pyrG_2,recG_21,rplB_1,uvrA_3,0.161,SRR2034354
18,4,Existing,clpA_1,clpX_1,nifS_1,pepX_1,pyrG_1,recG_1,rplB_1,uvrA_1,0.733,SRR2034340
19,5,New,clpA_1,clpX_1,nifS_1,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_19,0.267,SRR2034340
20,3734,Existing,clpA_8,clpX_1,nifS_15,pepX_94,pyrG_2,recG_20,rplB_1,uvrA_7,1.0,SRR2034346
21,25,New,clpA_4,clpX_14,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.411,SRR2034338
22,27,New,clpA_4,clpX_151,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.589,SRR2034338
23,5061,New,clpA_7,clpX_6,nifS_1,pepX_117,pyrG_1,recG_8,rplB_1,uvrA_104,0.258,SRR2034358
24,5267,New,clpA_7,clpX_6,nifS_14,pepX_1,pyrG_1,recG_5,rplB_8,uvrA_5,0.44,SRR2034358
25,5368,New,clpA_7,clpX_2,nifS_1,pepX_1,pyrG_1,recG_5,rplB_2,uvrA_7,0.163,SRR2034358
26,5750,New,clpA_4,clpX_2,nifS_1,pepX_13,pyrG_1,recG_21,rplB_2,uvrA_19,0.139,SRR2034358
27,2415,New,clpA_7,clpX_12,nifS_1,pepX_13,pyrG_1,recG_5,rplB_96,uvrA_8,0.114,SRR2034343
28,2723,New,clpA_4,clpX_12,nifS_14,pepX_1,pyrG_1,recG_5,rplB_5,uvrA_7,0.284,SRR2034343
29,330,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.382,SRR2034343
30,2850,New,clpA_104,clpX_12,nifS_1,pepX_18,pyrG_1,recG_6,rplB_96,uvrA_5,0.22,SRR2034343
31,14,Existing,clpA_6,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_8,0.629,SRR2034334
32,15,Existing,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.319,SRR2034334
33,16,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_8,0.052,SRR2034334
34,3733,Existing,clpA_22,clpX_1,nifS_5,pepX_8,pyrG_1,recG_18,rplB_11,uvrA_10,1.0,SRR2034362
35,15,Existing,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.87,SRR2034356
36,9950,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_1,0.13,SRR2034356
37,22,New,clpA_4,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_8,0.243,SRR2034361
38,10508,New,clpA_11,clpX_1,nifS_12,pepX_1,pyrG_1,recG_15,rplB_1,uvrA_7,0.26,SRR2034361
39,4,Existing,clpA_1,clpX_1,nifS_1,pepX_1,pyrG_1,recG_1,rplB_1,uvrA_1,0.497,SRR2034361
40,3057,New,clpA_6,clpX_1,nifS_1,pepX_1,pyrG_1,recG_1,rplB_1,uvrA_1,1.0,SRR2034349
41,5046,Existing,clpA_7,clpX_6,nifS_12,pepX_1,pyrG_1,recG_5,rplB_5,uvrA_5,0.614,SRR2034353
42,5050,New,clpA_15,clpX_6,nifS_12,pepX_1,pyrG_1,recG_5,rplB_5,uvrA_5,0.386,SRR2034353
43,9970,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_18,rplB_2,uvrA_7,0.334,SRR2034357
44,15,Existing,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.136,SRR2034357
45,9950,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_1,0.091,SRR2034357
46,10048,Existing,clpA_1,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.217,SRR2034357
47,10143,New,clpA_21,clpX_1,nifS_15,pepX_8,pyrG_1,recG_197,rplB_1,uvrA_124,0.222,SRR2034357
48,2395,New,clpA_4,clpX_1,nifS_1,pepX_94,pyrG_1,recG_6,rplB_1,uvrA_7,0.44,SRR2034344
49,2397,New,clpA_4,clpX_1,nifS_1,pepX_20,pyrG_1,recG_6,rplB_1,uvrA_7,0.44,SRR2034344
50,2400,New,clpA_4,clpX_1,nifS_1,pepX_3,pyrG_1,recG_14,rplB_1,uvrA_7,0.12,SRR2034344
51,15,Existing,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.865,SRR2034345
52,2394,New,clpA_4,clpX_1,nifS_15,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.135,SRR2034345
53,3729,New,clpA_5,clpX_14,nifS_4,pepX_5,pyrG_5,recG_7,rplB_1,uvrA_6,0.246,SRR2034347
54,3732,Existing,clpA_5,clpX_5,nifS_4,pepX_5,pyrG_5,recG_5,rplB_1,uvrA_6,0.754,SRR2034347
55,15,Existing,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.745,SRR2034360
56,10197,New,clpA_21,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_19,0.255,SRR2034360
57,14,Existing,clpA_6,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_8,0.747,SRR2034335
58,15,Existing,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.238,SRR2034335
59,16,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_8,0.015,SRR2034335
60,1,Existing,clpA_4,clpX_4,nifS_3,pepX_3,pyrG_3,recG_3,rplB_3,uvrA_3,1.0,SRR2034341
61,4267,New,clpA_1,clpX_1,nifS_1,pepX_19,pyrG_6,recG_1,rplB_1,uvrA_1,0.53,SRR2034352
62,4285,New,clpA_1,clpX_1,nifS_17,pepX_162,pyrG_113,recG_19,rplB_1,uvrA_104,0.212,SRR2034352
63,4602,New,clpA_21,clpX_1,nifS_1,pepX_162,pyrG_169,recG_19,rplB_1,uvrA_19,0.258,SRR2034352
64,3045,New,clpA_6,clpX_78,nifS_15,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_8,0.308,SRR2034342
65,3047,New,clpA_6,clpX_78,nifS_113,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_8,0.311,SRR2034342
66,3056,New,clpA_6,clpX_119,nifS_114,pepX_1,pyrG_1,recG_16,rplB_1,uvrA_8,0.381,SRR2034342
67,2326,New,clpA_9,clpX_9,nifS_1,pepX_7,pyrG_1,recG_6,rplB_1,uvrA_10,0.456,SRR2034350
68,2347,New,clpA_9,clpX_119,nifS_1,pepX_7,pyrG_1,recG_16,rplB_1,uvrA_10,0.271,SRR2034350
69,2352,New,clpA_9,clpX_119,nifS_1,pepX_1,pyrG_1,recG_1,rplB_1,uvrA_83,0.107,SRR2034350
70,2368,New,clpA_1,clpX_9,nifS_1,pepX_1,pyrG_1,recG_1,rplB_1,uvrA_1,0.166,SRR2034350
71,156,New,clpA_6,clpX_119,nifS_4,pepX_116,pyrG_1,recG_7,rplB_1,uvrA_8,0.281,SRR2034337
72,14,Existing,clpA_6,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_8,0.343,SRR2034337
73,330,New,clpA_4,clpX_119,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.016,SRR2034337
74,15,Existing,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.135,SRR2034337
75,16,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_8,0.017,SRR2034337
76,22,New,clpA_4,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_8,0.016,SRR2034337
77,699,New,clpA_10,clpX_5,nifS_5,pepX_13,pyrG_1,recG_6,rplB_1,uvrA_10,0.192,SRR2034337
78,2319,New,clpA_2,clpX_2,nifS_1,pepX_1,pyrG_2,recG_2,rplB_2,uvrA_2,0.848,SRR2034351
79,2322,New,clpA_21,clpX_2,nifS_1,pepX_1,pyrG_2,recG_5,rplB_2,uvrA_2,0.152,SRR2034351
80,6572,New,clpA_6,clpX_119,nifS_1,pepX_8,pyrG_164,recG_6,rplB_1,uvrA_7,0.248,SRR2034359
81,7647,New,clpA_22,clpX_119,nifS_1,pepX_20,pyrG_164,recG_18,rplB_11,uvrA_7,0.13,SRR2034359
82,8575,New,clpA_22,clpX_1,nifS_5,pepX_95,pyrG_4,recG_18,rplB_11,uvrA_19,0.215,SRR2034359
83,9608,New,clpA_8,clpX_1,nifS_1,pepX_9,pyrG_4,recG_6,rplB_11,uvrA_1,0.114,SRR2034359
84,9671,New,clpA_8,clpX_1,nifS_5,pepX_14,pyrG_4,recG_7,rplB_1,uvrA_10,0.293,SRR2034359
