Sample,Time(hrs),Time(sec)
SRR2034333,0.0006448552,2.3214788437
SRR2034334,0.0017908369,6.4470129013
SRR2034335,0.0015528117,5.5901219845
SRR2034336,0.7505101436,2701.8365168556
SRR2034337,0.0053814834,19.3733401298
SRR2034338,0.0198255958,71.3721449376
SRR2034339,0.0012137897,4.369642973
SRR2034340,0.0006012206,2.1643941402
SRR2034341,0.0039594803,14.2541289329
SRR2034342,0.0177096781,63.7548410891
SRR2034343,0.0062531763,22.5114347935
SRR2034344,0.02267179,81.6184439658
SRR2034345,0.0018604853,6.6977469921
SRR2034346,0.0009124766,3.2849159241
SRR2034347,0.0025068741,9.0247468948
SRR2034348,0.0147396894,53.0628819466
SRR2034349,0.0007455475,2.6839709282
SRR2034350,0.0020905909,7.5261271
SRR2034351,0.0025069588,9.0250518322
SRR2034352,0.2677328053,963.8380990044
SRR2034353,0.0028065508,10.103582859
SRR2034354,0.0014263189,5.134747982
SRR2034355,0.0010470294,3.7693059444
SRR2034356,0.0009905761,3.5660741329
SRR2034357,0.0015010069,5.4036250114
SRR2034358,0.0036780197,13.2408709526
SRR2034359,0.0095424183,34.3527059555
SRR2034360,0.008391442,30.2091910839
SRR2034361,0.0099152061,35.6947419644
SRR2034362,0.0017715681,6.3776450157
