,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
0,1,clpA_4,clpX_4,nifS_3,pepX_3,pyrG_3,recG_3,rplB_3,uvrA_3,Existing
1,2,clpA_4,clpX_4,nifS_3,pepX_3,pyrG_3,recG_3,rplB_38,uvrA_3,New
2,3,clpA_1,clpX_1,nifS_1,pepX_1,pyrG_1,recG_1,rplB_1,uvrA_19,New
3,4,clpA_1,clpX_1,nifS_1,pepX_1,pyrG_1,recG_1,rplB_1,uvrA_1,Existing
4,5,clpA_1,clpX_1,nifS_1,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_19,New
5,6,clpA_1,clpX_1,nifS_1,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_1,New
6,7,clpA_6,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,New
7,8,clpA_6,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_8,New
8,9,clpA_6,clpX_1,nifS_1,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_7,New
9,10,clpA_6,clpX_1,nifS_1,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_8,New
10,11,clpA_6,clpX_1,nifS_5,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,New
11,12,clpA_6,clpX_1,nifS_5,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_8,New
12,13,clpA_6,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_7,New
13,14,clpA_6,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_8,Existing
14,15,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,Existing
15,16,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_8,New
16,17,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_7,New
17,18,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_8,New
18,19,clpA_4,clpX_1,nifS_5,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,New
19,20,clpA_4,clpX_1,nifS_5,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_8,New
20,21,clpA_4,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_7,New
21,22,clpA_4,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_8,New
