,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
0,1,clpA_35,clpX_24,nifS_24,pepX_32,pyrG_144,recG_27,rplB_23,uvrA_28,New
1,2,clpA_35,clpX_24,nifS_24,pepX_32,pyrG_144,recG_27,rplB_98,uvrA_28,New
2,3,clpA_35,clpX_24,nifS_24,pepX_32,pyrG_144,recG_137,rplB_23,uvrA_28,New
3,4,clpA_35,clpX_24,nifS_24,pepX_32,pyrG_144,recG_137,rplB_98,uvrA_28,New
4,5,clpA_35,clpX_24,nifS_24,pepX_32,pyrG_21,recG_27,rplB_23,uvrA_28,Existing
5,6,clpA_35,clpX_24,nifS_24,pepX_32,pyrG_21,recG_27,rplB_98,uvrA_28,New
6,7,clpA_35,clpX_24,nifS_24,pepX_32,pyrG_21,recG_137,rplB_23,uvrA_28,New
7,8,clpA_35,clpX_24,nifS_24,pepX_32,pyrG_21,recG_137,rplB_98,uvrA_28,New
8,9,clpA_35,clpX_24,nifS_24,pepX_204,pyrG_144,recG_27,rplB_23,uvrA_28,New
9,10,clpA_35,clpX_24,nifS_24,pepX_204,pyrG_144,recG_27,rplB_98,uvrA_28,New
10,11,clpA_35,clpX_24,nifS_24,pepX_204,pyrG_144,recG_137,rplB_23,uvrA_28,New
11,12,clpA_35,clpX_24,nifS_24,pepX_204,pyrG_144,recG_137,rplB_98,uvrA_28,New
12,13,clpA_35,clpX_24,nifS_24,pepX_204,pyrG_21,recG_27,rplB_23,uvrA_28,New
13,14,clpA_35,clpX_24,nifS_24,pepX_204,pyrG_21,recG_27,rplB_98,uvrA_28,New
14,15,clpA_35,clpX_24,nifS_24,pepX_204,pyrG_21,recG_137,rplB_23,uvrA_28,New
15,16,clpA_35,clpX_24,nifS_24,pepX_204,pyrG_21,recG_137,rplB_98,uvrA_28,New
16,17,clpA_35,clpX_135,nifS_24,pepX_32,pyrG_144,recG_27,rplB_23,uvrA_28,New
17,18,clpA_35,clpX_135,nifS_24,pepX_32,pyrG_144,recG_27,rplB_98,uvrA_28,New
18,19,clpA_35,clpX_135,nifS_24,pepX_32,pyrG_144,recG_137,rplB_23,uvrA_28,New
19,20,clpA_35,clpX_135,nifS_24,pepX_32,pyrG_144,recG_137,rplB_98,uvrA_28,New
20,21,clpA_35,clpX_135,nifS_24,pepX_32,pyrG_21,recG_27,rplB_23,uvrA_28,New
21,22,clpA_35,clpX_135,nifS_24,pepX_32,pyrG_21,recG_27,rplB_98,uvrA_28,New
22,23,clpA_35,clpX_135,nifS_24,pepX_32,pyrG_21,recG_137,rplB_23,uvrA_28,New
23,24,clpA_35,clpX_135,nifS_24,pepX_32,pyrG_21,recG_137,rplB_98,uvrA_28,New
24,25,clpA_35,clpX_135,nifS_24,pepX_204,pyrG_144,recG_27,rplB_23,uvrA_28,New
25,26,clpA_35,clpX_135,nifS_24,pepX_204,pyrG_144,recG_27,rplB_98,uvrA_28,New
26,27,clpA_35,clpX_135,nifS_24,pepX_204,pyrG_144,recG_137,rplB_23,uvrA_28,New
27,28,clpA_35,clpX_135,nifS_24,pepX_204,pyrG_144,recG_137,rplB_98,uvrA_28,New
28,29,clpA_35,clpX_135,nifS_24,pepX_204,pyrG_21,recG_27,rplB_23,uvrA_28,New
29,30,clpA_35,clpX_135,nifS_24,pepX_204,pyrG_21,recG_27,rplB_98,uvrA_28,New
30,31,clpA_35,clpX_135,nifS_24,pepX_204,pyrG_21,recG_137,rplB_23,uvrA_28,New
31,32,clpA_35,clpX_135,nifS_24,pepX_204,pyrG_21,recG_137,rplB_98,uvrA_28,New
