,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
0,1,clpA_211,clpX_178,nifS_9,pepX_181,pyrG_44,recG_18,rplB_23,uvrA_125,New
1,2,clpA_211,clpX_178,nifS_9,pepX_181,pyrG_44,recG_18,rplB_23,uvrA_142,New
2,3,clpA_211,clpX_178,nifS_9,pepX_181,pyrG_44,recG_18,rplB_23,uvrA_87,New
3,4,clpA_211,clpX_178,nifS_9,pepX_181,pyrG_44,recG_18,rplB_106,uvrA_125,New
4,5,clpA_211,clpX_178,nifS_9,pepX_181,pyrG_44,recG_18,rplB_106,uvrA_142,New
5,6,clpA_211,clpX_178,nifS_9,pepX_181,pyrG_44,recG_18,rplB_106,uvrA_87,New
6,7,clpA_211,clpX_178,nifS_9,pepX_181,pyrG_44,recG_18,rplB_4,uvrA_125,New
7,8,clpA_211,clpX_178,nifS_9,pepX_181,pyrG_44,recG_18,rplB_4,uvrA_142,New
8,9,clpA_211,clpX_178,nifS_9,pepX_181,pyrG_44,recG_18,rplB_4,uvrA_87,New
9,10,clpA_211,clpX_178,nifS_9,pepX_181,pyrG_44,recG_155,rplB_23,uvrA_125,New
10,11,clpA_211,clpX_178,nifS_9,pepX_181,pyrG_44,recG_155,rplB_23,uvrA_142,New
11,12,clpA_211,clpX_178,nifS_9,pepX_181,pyrG_44,recG_155,rplB_23,uvrA_87,New
12,13,clpA_211,clpX_178,nifS_9,pepX_181,pyrG_44,recG_155,rplB_106,uvrA_125,New
13,14,clpA_211,clpX_178,nifS_9,pepX_181,pyrG_44,recG_155,rplB_106,uvrA_142,New
14,15,clpA_211,clpX_178,nifS_9,pepX_181,pyrG_44,recG_155,rplB_106,uvrA_87,New
15,16,clpA_211,clpX_178,nifS_9,pepX_181,pyrG_44,recG_155,rplB_4,uvrA_125,New
16,17,clpA_211,clpX_178,nifS_9,pepX_181,pyrG_44,recG_155,rplB_4,uvrA_142,New
17,18,clpA_211,clpX_178,nifS_9,pepX_181,pyrG_44,recG_155,rplB_4,uvrA_87,New
18,19,clpA_211,clpX_178,nifS_9,pepX_181,pyrG_44,recG_202,rplB_23,uvrA_125,New
