,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
0,1,clpA_192,clpX_45,nifS_44,pepX_164,pyrG_50,recG_179,rplB_148,uvrA_33,New
1,2,clpA_192,clpX_45,nifS_44,pepX_164,pyrG_50,recG_179,rplB_148,uvrA_130,New
2,3,clpA_192,clpX_45,nifS_44,pepX_164,pyrG_50,recG_179,rplB_41,uvrA_33,New
3,4,clpA_192,clpX_45,nifS_44,pepX_164,pyrG_50,recG_179,rplB_41,uvrA_130,New
4,5,clpA_192,clpX_45,nifS_44,pepX_164,pyrG_50,recG_49,rplB_148,uvrA_33,New
5,6,clpA_192,clpX_45,nifS_44,pepX_164,pyrG_50,recG_49,rplB_148,uvrA_130,New
6,7,clpA_192,clpX_45,nifS_44,pepX_164,pyrG_50,recG_49,rplB_41,uvrA_33,New
7,8,clpA_192,clpX_45,nifS_44,pepX_164,pyrG_50,recG_49,rplB_41,uvrA_130,New
8,9,clpA_192,clpX_45,nifS_44,pepX_164,pyrG_171,recG_179,rplB_148,uvrA_33,New
9,10,clpA_192,clpX_45,nifS_44,pepX_164,pyrG_171,recG_179,rplB_148,uvrA_130,New
10,11,clpA_192,clpX_45,nifS_44,pepX_164,pyrG_171,recG_179,rplB_41,uvrA_33,New
11,12,clpA_192,clpX_45,nifS_44,pepX_164,pyrG_171,recG_179,rplB_41,uvrA_130,New
12,13,clpA_192,clpX_45,nifS_44,pepX_164,pyrG_171,recG_49,rplB_148,uvrA_33,New
13,14,clpA_192,clpX_45,nifS_44,pepX_164,pyrG_171,recG_49,rplB_148,uvrA_130,New
14,15,clpA_192,clpX_45,nifS_44,pepX_164,pyrG_171,recG_49,rplB_41,uvrA_33,New
15,16,clpA_192,clpX_45,nifS_44,pepX_164,pyrG_171,recG_49,rplB_41,uvrA_130,New
16,17,clpA_192,clpX_45,nifS_44,pepX_54,pyrG_50,recG_179,rplB_148,uvrA_33,New
17,18,clpA_192,clpX_45,nifS_44,pepX_54,pyrG_50,recG_179,rplB_148,uvrA_130,New
18,19,clpA_192,clpX_45,nifS_44,pepX_54,pyrG_50,recG_179,rplB_41,uvrA_33,New
19,20,clpA_192,clpX_45,nifS_44,pepX_54,pyrG_50,recG_179,rplB_41,uvrA_130,New
20,21,clpA_192,clpX_45,nifS_44,pepX_54,pyrG_50,recG_49,rplB_148,uvrA_33,New
21,22,clpA_192,clpX_45,nifS_44,pepX_54,pyrG_50,recG_49,rplB_148,uvrA_130,New
22,23,clpA_192,clpX_45,nifS_44,pepX_54,pyrG_50,recG_49,rplB_41,uvrA_33,New
23,24,clpA_192,clpX_45,nifS_44,pepX_54,pyrG_50,recG_49,rplB_41,uvrA_130,New
24,25,clpA_192,clpX_45,nifS_44,pepX_54,pyrG_171,recG_179,rplB_148,uvrA_33,New
25,26,clpA_192,clpX_45,nifS_44,pepX_54,pyrG_171,recG_179,rplB_148,uvrA_130,New
26,27,clpA_192,clpX_45,nifS_44,pepX_54,pyrG_171,recG_179,rplB_41,uvrA_33,New
27,28,clpA_192,clpX_45,nifS_44,pepX_54,pyrG_171,recG_179,rplB_41,uvrA_130,New
28,29,clpA_192,clpX_45,nifS_44,pepX_54,pyrG_171,recG_49,rplB_148,uvrA_33,New
29,30,clpA_192,clpX_45,nifS_44,pepX_54,pyrG_171,recG_49,rplB_148,uvrA_130,New
30,31,clpA_192,clpX_45,nifS_44,pepX_54,pyrG_171,recG_49,rplB_41,uvrA_33,New
31,32,clpA_192,clpX_45,nifS_44,pepX_54,pyrG_171,recG_49,rplB_41,uvrA_130,New
32,33,clpA_192,clpX_45,nifS_78,pepX_164,pyrG_50,recG_179,rplB_148,uvrA_33,New
33,34,clpA_192,clpX_45,nifS_78,pepX_164,pyrG_50,recG_179,rplB_148,uvrA_130,New
