	0	1	2	3	4	5	6	7
0	-3.101	-2.816	-2.816	-2.816	-2.816	-2.684	-2.684	-2.684
1	-2.017	-2.533	-2.533	-2.533	-2.533	-2.467	-2.467	-2.467
2	-1.8	-3.266	-1.8	-1.8	-1.8	-3.134	-3.134	-1.8
3	-3.068	-2.366	-2.366	-2.366	-2.366	-2.234	-2.234	-2.234
4	-2.434	-2.983	-2.083	-2.083	-2.083	-2.917	-2.917	-2.017
5	-3.068	-2.366	-2.366	-2.366	-2.366	-2.234	-2.234	-2.651
6	-2.917	-3.549	-2.983	-2.983	-2.983	-3.351	-3.351	-2.917
7	-2.717	-2.366	-2.366	-2.366	-2.366	-2.234	-2.234	-2.234
8	-3.101	-2.816	-2.816	-2.816	-2.816	-2.684	-2.684	-2.684
9	-2.884	-2.983	-2.533	-2.533	-2.533	-2.917	-2.917	-2.467
10	-0.9	-2.9	-0.9	-0.9	-0.9	-2.817	-2.7	-0.9
11	-1.633	-2.083	-1.633	-1.633	-1.633	-2.017	-2.017	-1.567
12	-2.25	-3.266	-2.25	-2.25	-2.25	-3.134	-3.134	-2.25
13	-2.651	-2.366	-2.366	-2.366	-2.366	-2.234	-2.234	-2.234
14	-2.884	-2.983	-2.533	-2.533	-2.533	-2.917	-2.917	-2.467
15	-2.467	-2.533	-2.533	-2.533	-2.533	-2.467	-2.467	-2.467
16	-1.8	-2.083	-1.8	-1.8	-1.8	-2.017	-2.017	-1.8
17	-2.25	-2.25	-2.25	-2.25	-2.25	-2.25	-2.25	-2.25
18	-2.25	-2.983	-2.25	-2.25	-2.25	-2.917	-2.917	-2.25
19	-2.434	-3.266	-2.533	-2.533	-2.533	-3.134	-2.234	-2.467
20	-3.134	-2.25	-1.35	-1.35	-1.35	-2.25	-3.134	-1.35
21	-2.651	-2.816	-2.533	-2.533	-2.533	-2.684	-2.234	-2.467
22	-2.083	-1.8	-1.8	-1.8	-1.8	-1.8	-2.684	-1.8
23	-1.8	-2.083	-1.633	-1.633	-1.633	-2.017	-1.8	-1.567
24	-1.633	-2.983	-2.083	-2.083	-2.083	-2.917	-2.017	-2.017
25	-2.434	-2.816	-2.816	-2.816	-2.816	-2.684	-2.917	-2.684
26	-2.75	-1.633	-1.633	-1.633	-1.633	-1.567	-2.684	-1.567
27	-1.633	-2.366	-2.366	-2.366	-2.366	-2.234	-1.567	-2.234
28	-3.068	-3.266	-2.25	-2.25	-2.25	-3.134	-2.234	-2.25
29	-2.25	-2.816	-2.533	-2.533	-2.533	-2.684	-3.134	-2.533
30	-2.467	-2.083	-2.083	-2.083	-2.083	-2.017	-2.684	-2.017
31	-2.083	-1.633	-2.533	-1.633	-2.533	-1.567	-2.017	-2.467
32	-1.633	-2.083	-2.083	-1.633	-2.083	-2.017	-1.567	-2.017
33	-1.984	-3.549	-2.366	-3.266	-2.366	-3.351	-2.017	-2.234
34	-3.551	-2.7	-2.366	-1.8	-2.366	-2.7	-3.351	-2.234
35	-1.8	-2.25	-1.8	-1.8	-1.8	-2.25	-2.7	-1.8
36	-1.8	-2.533	-1.35	-1.633	-1.35	-2.467	-2.25	-1.35
37	-1.567	-2.083	-3.266	-1.633	-3.266	-2.017	-2.467	-3.134
38	-1.984	-2.366	-1.8	-2.366	-1.8	-2.234	-2.017	-1.8
39	-2.717	-2.083	-2.533	-1.633	-2.533	-2.017	-2.234	-2.467
