,ST,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,Proportion,Sample
2,5,New,clpA_1,clpX_1,nifS_1,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_19,0.267,SRR2034340
5,16,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_8,0.015,SRR2034335
9,16,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_8,0.05,SRR2034334
12,16,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_8,0.211,SRR2034333
14,24,New,clpA_8,clpX_1,nifS_1,pepX_1,pyrG_4,recG_7,rplB_1,uvrA_7,0.309,SRR2034339
15,25,New,clpA_4,clpX_14,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.26,SRR2034338
16,26,New,clpA_4,clpX_14,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_83,0.101,SRR2034338
18,224,New,clpA_6,clpX_1,nifS_5,pepX_2,pyrG_1,recG_7,rplB_1,uvrA_8,0.572,SRR2034337
19,261,New,clpA_4,clpX_5,nifS_1,pepX_17,pyrG_1,recG_6,rplB_1,uvrA_7,0.184,SRR2034337
20,802,New,clpA_10,clpX_119,nifS_4,pepX_116,pyrG_1,recG_6,rplB_1,uvrA_6,0.244,SRR2034337
21,1582,New,clpA_4,clpX_119,nifS_1,pepX_95,pyrG_139,recG_6,rplB_3,uvrA_7,0.184,SRR2034336
22,1875,New,clpA_4,clpX_119,nifS_14,pepX_95,pyrG_139,recG_6,rplB_8,uvrA_124,0.134,SRR2034336
24,4095,New,clpA_4,clpX_11,nifS_14,pepX_139,pyrG_138,recG_137,rplB_8,uvrA_122,0.111,SRR2034336
26,4354,New,clpA_21,clpX_2,nifS_1,pepX_2,pyrG_2,recG_5,rplB_2,uvrA_2,0.146,SRR2034351
27,4361,New,clpA_9,clpX_119,nifS_1,pepX_7,pyrG_1,recG_15,rplB_1,uvrA_10,0.384,SRR2034350
29,4384,New,clpA_9,clpX_1,nifS_1,pepX_1,pyrG_1,recG_8,rplB_1,uvrA_83,0.2,SRR2034350
32,4426,New,clpA_4,clpX_1,nifS_15,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7,0.135,SRR2034345
33,4431,New,clpA_4,clpX_119,nifS_1,pepX_20,pyrG_113,recG_6,rplB_1,uvrA_7,0.351,SRR2034344
34,4441,New,clpA_4,clpX_1,nifS_1,pepX_94,pyrG_1,recG_6,rplB_1,uvrA_7,0.529,SRR2034344
35,4446,New,clpA_4,clpX_1,nifS_1,pepX_20,pyrG_1,recG_14,rplB_1,uvrA_7,0.12,SRR2034344
36,4494,New,clpA_7,clpX_119,nifS_1,pepX_1,pyrG_1,recG_18,rplB_5,uvrA_7,0.093,SRR2034343
