,New/Existing,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA
2,New,clpA_1,clpX_1,nifS_1,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_19
5,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_8
14,New,clpA_8,clpX_1,nifS_1,pepX_1,pyrG_4,recG_7,rplB_1,uvrA_7
15,New,clpA_4,clpX_14,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7
16,New,clpA_4,clpX_14,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_83
18,New,clpA_6,clpX_1,nifS_5,pepX_2,pyrG_1,recG_7,rplB_1,uvrA_8
19,New,clpA_4,clpX_5,nifS_1,pepX_17,pyrG_1,recG_6,rplB_1,uvrA_7
20,New,clpA_10,clpX_119,nifS_4,pepX_116,pyrG_1,recG_6,rplB_1,uvrA_6
21,New,clpA_4,clpX_119,nifS_1,pepX_95,pyrG_139,recG_6,rplB_3,uvrA_7
22,New,clpA_4,clpX_119,nifS_14,pepX_95,pyrG_139,recG_6,rplB_8,uvrA_124
24,New,clpA_4,clpX_11,nifS_14,pepX_139,pyrG_138,recG_137,rplB_8,uvrA_122
26,New,clpA_21,clpX_2,nifS_1,pepX_2,pyrG_2,recG_5,rplB_2,uvrA_2
27,New,clpA_9,clpX_119,nifS_1,pepX_7,pyrG_1,recG_15,rplB_1,uvrA_10
29,New,clpA_9,clpX_1,nifS_1,pepX_1,pyrG_1,recG_8,rplB_1,uvrA_83
32,New,clpA_4,clpX_1,nifS_15,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_7
33,New,clpA_4,clpX_119,nifS_1,pepX_20,pyrG_113,recG_6,rplB_1,uvrA_7
34,New,clpA_4,clpX_1,nifS_1,pepX_94,pyrG_1,recG_6,rplB_1,uvrA_7
35,New,clpA_4,clpX_1,nifS_1,pepX_20,pyrG_1,recG_14,rplB_1,uvrA_7
36,New,clpA_7,clpX_119,nifS_1,pepX_1,pyrG_1,recG_18,rplB_5,uvrA_7
37,New,clpA_4,clpX_119,nifS_14,pepX_95,pyrG_1,recG_5,rplB_96,uvrA_5
38,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_18,rplB_1,uvrA_7
39,New,clpA_104,clpX_1,nifS_1,pepX_13,pyrG_1,recG_5,rplB_5,uvrA_8
40,New,clpA_6,clpX_78,nifS_113,pepX_1,pyrG_113,recG_7,rplB_1,uvrA_8
41,New,clpA_6,clpX_78,nifS_114,pepX_1,pyrG_139,recG_16,rplB_1,uvrA_8
42,New,clpA_6,clpX_119,nifS_5,pepX_1,pyrG_6,recG_7,rplB_1,uvrA_8
46,New,clpA_9,clpX_119,nifS_1,pepX_7,pyrG_1,recG_6,rplB_1,uvrA_10
48,New,clpA_5,clpX_14,nifS_5,pepX_5,pyrG_5,recG_7,rplB_1,uvrA_6
50,New,clpA_8,clpX_1,nifS_15,pepX_94,pyrG_2,recG_18,rplB_1,uvrA_7
53,New,clpA_6,clpX_1,nifS_1,pepX_15,pyrG_2,recG_8,rplB_2,uvrA_8
55,New,clpA_4,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_8
56,New,clpA_12,clpX_1,nifS_5,pepX_1,pyrG_2,recG_21,rplB_1,uvrA_104
58,New,clpA_4,clpX_119,nifS_1,pepX_3,pyrG_3,recG_3,rplB_3,uvrA_3
59,New,clpA_4,clpX_119,nifS_3,pepX_116,pyrG_3,recG_3,rplB_3,uvrA_7
60,New,clpA_1,clpX_122,nifS_1,pepX_162,pyrG_6,recG_1,rplB_1,uvrA_1
61,New,clpA_1,clpX_4,nifS_8,pepX_119,pyrG_113,recG_19,rplB_1,uvrA_19
62,New,clpA_21,clpX_122,nifS_75,pepX_119,pyrG_169,recG_1,rplB_1,uvrA_1
63,New,clpA_21,clpX_4,nifS_17,pepX_117,pyrG_169,recG_19,rplB_1,uvrA_104
65,New,clpA_15,clpX_6,nifS_12,pepX_1,pyrG_1,recG_1,rplB_5,uvrA_5
66,New,clpA_7,clpX_6,nifS_1,pepX_1,pyrG_1,recG_8,rplB_1,uvrA_5
67,New,clpA_7,clpX_6,nifS_14,pepX_1,pyrG_1,recG_5,rplB_8,uvrA_5
68,New,clpA_7,clpX_2,nifS_1,pepX_117,pyrG_1,recG_5,rplB_3,uvrA_7
69,New,clpA_7,clpX_2,nifS_1,pepX_1,pyrG_1,recG_21,rplB_2,uvrA_19
70,New,clpA_4,clpX_6,nifS_14,pepX_13,pyrG_1,recG_5,rplB_2,uvrA_104
71,New,clpA_6,clpX_119,nifS_5,pepX_95,pyrG_164,recG_18,rplB_1,uvrA_1
72,New,clpA_6,clpX_1,nifS_1,pepX_20,pyrG_4,recG_6,rplB_1,uvrA_19
73,New,clpA_22,clpX_1,nifS_5,pepX_8,pyrG_4,recG_7,rplB_11,uvrA_7
74,New,clpA_8,clpX_119,nifS_1,pepX_14,pyrG_164,recG_18,rplB_1,uvrA_10
75,New,clpA_8,clpX_1,nifS_5,pepX_9,pyrG_4,recG_6,rplB_11,uvrA_7
77,New,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_1,recG_6,rplB_1,uvrA_1
84,New,clpA_21,clpX_1,nifS_15,pepX_8,pyrG_1,recG_1,rplB_2,uvrA_124
86,New,clpA_21,clpX_1,nifS_5,pepX_1,pyrG_1,recG_7,rplB_1,uvrA_19
91,New,clpA_11,clpX_11,nifS_12,pepX_1,pyrG_1,recG_1,rplB_1,uvrA_1
