,Strain,Proportion,Error
0,6.0,0.604,0.0
1,6.0,0.604,0.0
2,5.0,0.604,0.0
3,6.0,0.813,0.0
4,6.0,0.813,0.0
5,6.0,0.84,0.0
6,6.0,0.815,0.0
7,6.0,0.815,0.0
8,7.0,0.781,0.0
9,6.0,0.854,0.0
10,6.0,0.854,0.0
11,6.0,0.781,0.0
12,6.0,0.604,0.0
13,6.0,0.604,0.0
14,6.0,0.604,0.0
15,6.0,0.955,0.0
16,6.0,0.955,0.0
17,6.0,0.953,0.0
18,7.0,0.781,0.0
19,7.0,0.781,0.0
20,7.0,0.781,0.0
21,6.0,0.85,0.0
22,6.0,0.85,0.0
23,6.0,0.864,0.0
24,6.0,0.604,0.0
25,6.0,0.604,0.0
26,6.0,0.604,0.0
27,7.0,0.796,0.0
28,7.0,0.796,0.0
29,7.0,0.796,0.0
30,6.0,0.798,0.0
31,6.0,0.798,0.0
32,6.0,0.842,0.0
33,6.0,0.838,0.0
34,6.0,0.838,0.0
35,7.0,0.796,0.0
