,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
0,1,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_168,recG_6,rplB_94,uvrA_7,New
1,2,clpA_4,clpX_1,nifS_1,pepX_1,pyrG_168,recG_6,rplB_94,uvrA_8,New
2,3,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_168,recG_13,rplB_12,uvrA_7,New
3,4,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_168,recG_13,rplB_12,uvrA_8,New
4,5,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_168,recG_13,rplB_7,uvrA_7,New
5,6,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_168,recG_13,rplB_7,uvrA_8,New
6,7,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_168,recG_15,rplB_12,uvrA_7,New
7,8,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_168,recG_15,rplB_12,uvrA_8,New
8,9,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_168,recG_15,rplB_7,uvrA_7,New
9,10,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_168,recG_15,rplB_7,uvrA_8,New
10,11,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_168,recG_16,rplB_12,uvrA_7,New
11,12,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_168,recG_16,rplB_12,uvrA_8,New
12,13,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_168,recG_16,rplB_7,uvrA_7,New
13,14,clpA_4,clpX_12,nifS_1,pepX_1,pyrG_168,recG_16,rplB_7,uvrA_8,New
14,15,clpA_4,clpX_12,nifS_113,pepX_1,pyrG_168,recG_13,rplB_12,uvrA_7,New
15,16,clpA_4,clpX_12,nifS_113,pepX_1,pyrG_168,recG_13,rplB_12,uvrA_8,New
16,17,clpA_4,clpX_12,nifS_113,pepX_1,pyrG_168,recG_13,rplB_7,uvrA_7,New
17,18,clpA_4,clpX_12,nifS_113,pepX_1,pyrG_168,recG_13,rplB_7,uvrA_8,New
18,19,clpA_4,clpX_12,nifS_113,pepX_1,pyrG_168,recG_15,rplB_12,uvrA_7,New
19,20,clpA_4,clpX_12,nifS_113,pepX_1,pyrG_168,recG_15,rplB_12,uvrA_8,New
20,21,clpA_4,clpX_12,nifS_113,pepX_1,pyrG_168,recG_15,rplB_7,uvrA_7,New
21,22,clpA_4,clpX_12,nifS_113,pepX_1,pyrG_168,recG_15,rplB_7,uvrA_8,New
22,23,clpA_4,clpX_12,nifS_113,pepX_1,pyrG_168,recG_16,rplB_12,uvrA_7,New
23,24,clpA_4,clpX_12,nifS_113,pepX_1,pyrG_168,recG_16,rplB_12,uvrA_8,New
24,25,clpA_4,clpX_12,nifS_113,pepX_1,pyrG_168,recG_16,rplB_7,uvrA_7,New
25,26,clpA_4,clpX_12,nifS_113,pepX_1,pyrG_168,recG_16,rplB_7,uvrA_8,New
26,27,clpA_11,clpX_12,nifS_1,pepX_1,pyrG_168,recG_13,rplB_12,uvrA_7,New
27,28,clpA_11,clpX_12,nifS_1,pepX_1,pyrG_168,recG_13,rplB_12,uvrA_8,New
28,29,clpA_11,clpX_12,nifS_1,pepX_1,pyrG_168,recG_13,rplB_7,uvrA_7,New
29,30,clpA_11,clpX_12,nifS_1,pepX_1,pyrG_168,recG_13,rplB_7,uvrA_8,New
