	nifS_1
SRR2034333.102353-1/2	1.0
SRR2034333.102353-2/2	0.0
SRR2034333.105892-1/2	0.0
SRR2034333.105892-2/2	0.0
SRR2034333.107452-1/2	0.0
SRR2034333.107452-2/2	0.0
SRR2034333.113968-1/2	0.0
SRR2034333.113968-2/2	0.0
SRR2034333.118589-1/2	0.0
SRR2034333.118589-2/2	1.0
SRR2034333.120973-1/2	0.0
SRR2034333.120973-2/2	0.0
SRR2034333.126711-1/2	0.0
SRR2034333.126711-2/2	0.0
SRR2034333.126765-1/2	0.0
SRR2034333.126765-2/2	0.0
SRR2034333.129348-1/2	0.0
SRR2034333.129348-2/2	0.0
SRR2034333.140737-1/2	0.0
SRR2034333.140737-2/2	0.0
SRR2034333.168014-1/2	1.0
SRR2034333.168014-2/2	0.0
SRR2034333.170825-1/2	0.0
SRR2034333.170825-2/2	0.0
SRR2034333.171849-1/2	0.0
SRR2034333.171849-2/2	0.0
SRR2034333.175243-1/2	0.0
SRR2034333.175243-2/2	0.0
SRR2034333.180684-1/2	0.0
SRR2034333.180684-2/2	0.0
SRR2034333.193344-1/2	1.0
SRR2034333.193344-2/2	0.0
SRR2034333.201551-1/2	0.0
SRR2034333.201551-2/2	0.0
SRR2034333.204067-1/2	1.0
SRR2034333.204067-2/2	0.0
SRR2034333.208841-1/2	0.0
SRR2034333.208841-2/2	0.0
SRR2034333.209651-1/2	0.0
SRR2034333.209651-2/2	0.0
SRR2034333.219822-1/2	0.0
SRR2034333.219822-2/2	0.0
SRR2034333.220016-1/2	0.0
SRR2034333.220016-2/2	0.0
SRR2034333.231829-1/2	0.0
SRR2034333.231829-2/2	0.0
SRR2034333.237366-1/2	0.0
SRR2034333.237366-2/2	0.0
SRR2034333.244159-1/2	0.0
SRR2034333.244159-2/2	0.0
SRR2034333.248228-1/2	0.0
SRR2034333.248228-2/2	0.0
SRR2034333.250077-1/2	0.0
SRR2034333.250077-2/2	0.0
SRR2034333.253176-1/2	0.0
SRR2034333.253176-2/2	0.0
SRR2034333.256120-1/2	0.0
SRR2034333.256120-2/2	0.0
SRR2034333.258497-1/2	0.0
SRR2034333.258497-2/2	0.0
SRR2034333.259533-1/2	0.0
SRR2034333.259533-2/2	0.0
SRR2034333.266382-1/2	0.0
SRR2034333.266382-2/2	0.0
SRR2034333.270489-1/2	0.0
SRR2034333.270489-2/2	0.0
SRR2034333.29722-1/2	0.0
SRR2034333.29722-2/2	0.0
SRR2034333.31969-1/2	0.0
SRR2034333.31969-2/2	0.0
SRR2034333.38339-1/2	0.0
SRR2034333.38339-2/2	0.0
SRR2034333.39250-1/2	0.0
SRR2034333.39250-2/2	0.0
SRR2034333.57040-1/2	0.0
SRR2034333.57040-2/2	0.0
SRR2034333.57628-1/2	0.0
SRR2034333.57628-2/2	0.0
SRR2034333.58288-1/2	0.0
SRR2034333.58288-2/2	0.0
SRR2034333.60756-1/2	0.0
SRR2034333.60756-2/2	0.0
SRR2034333.61282-1/2	0.0
SRR2034333.61282-2/2	0.0
SRR2034333.66573-1/2	0.0
SRR2034333.66573-2/2	0.0
SRR2034333.99634-1/2	0.0
SRR2034333.99634-2/2	0.0
