	pepX_1
SRR2034333.112794-1/2	0.0
SRR2034333.112794-2/2	0.0
SRR2034333.114378-1/2	0.0
SRR2034333.114378-2/2	0.0
SRR2034333.11451-1/2	0.0
SRR2034333.11451-2/2	0.0
SRR2034333.114510-1/2	0.0
SRR2034333.114510-2/2	0.0
SRR2034333.115975-1/2	0.0
SRR2034333.115975-2/2	0.0
SRR2034333.116612-1/2	0.0
SRR2034333.116612-2/2	0.0
SRR2034333.122264-1/2	0.0
SRR2034333.122264-2/2	0.0
SRR2034333.126021-1/2	0.0
SRR2034333.126021-2/2	0.0
SRR2034333.126754-1/2	0.0
SRR2034333.126754-2/2	0.0
SRR2034333.132532-1/2	0.0
SRR2034333.132532-2/2	0.0
SRR2034333.138556-1/2	0.0
SRR2034333.138556-2/2	0.0
SRR2034333.144305-1/2	0.0
SRR2034333.144305-2/2	0.0
SRR2034333.14700-1/2	0.0
SRR2034333.14700-2/2	0.0
SRR2034333.153059-1/2	0.0
SRR2034333.153059-2/2	0.0
SRR2034333.159205-1/2	0.0
SRR2034333.159205-2/2	0.0
SRR2034333.162134-1/2	1.0
SRR2034333.162134-2/2	0.0
SRR2034333.163993-1/2	0.0
SRR2034333.163993-2/2	0.0
SRR2034333.168825-1/2	0.0
SRR2034333.168825-2/2	0.0
SRR2034333.173785-1/2	0.0
SRR2034333.173785-2/2	0.0
SRR2034333.178344-1/2	0.0
SRR2034333.178344-2/2	0.0
SRR2034333.179991-1/2	0.0
SRR2034333.179991-2/2	0.0
SRR2034333.180884-1/2	0.0
SRR2034333.180884-2/2	0.0
SRR2034333.181015-1/2	0.0
SRR2034333.181015-2/2	0.0
SRR2034333.181185-1/2	0.0
SRR2034333.181185-2/2	0.0
SRR2034333.184458-1/2	0.0
SRR2034333.184458-2/2	0.0
SRR2034333.195221-1/2	0.0
SRR2034333.195221-2/2	0.0
SRR2034333.195266-1/2	0.0
SRR2034333.195266-2/2	0.0
SRR2034333.205733-1/2	0.0
SRR2034333.205733-2/2	0.0
SRR2034333.207757-1/2	0.0
SRR2034333.207757-2/2	0.0
SRR2034333.216322-1/2	0.0
SRR2034333.216322-2/2	0.0
SRR2034333.227545-1/2	0.0
SRR2034333.227545-2/2	0.0
SRR2034333.229297-1/2	0.0
SRR2034333.229297-2/2	0.0
SRR2034333.249476-1/2	0.0
SRR2034333.249476-2/2	0.0
SRR2034333.257381-1/2	0.0
SRR2034333.257381-2/2	0.0
SRR2034333.270249-1/2	0.0
SRR2034333.270249-2/2	0.0
SRR2034333.30704-1/2	0.0
SRR2034333.30704-2/2	0.0
SRR2034333.41439-1/2	0.0
SRR2034333.41439-2/2	0.0
SRR2034333.42120-1/2	0.0
SRR2034333.42120-2/2	0.0
SRR2034333.45138-1/2	0.0
SRR2034333.45138-2/2	0.0
SRR2034333.62649-1/2	0.0
SRR2034333.62649-2/2	0.0
SRR2034333.71637-1/2	0.0
SRR2034333.71637-2/2	0.0
SRR2034333.85963-1/2	0.0
SRR2034333.85963-2/2	0.0
SRR2034333.89112-1/2	0.0
SRR2034333.89112-2/2	0.0
SRR2034333.98547-1/2	0.0
SRR2034333.98547-2/2	0.0
