	rplB_94
SRR2034333.103350-1/2	0.0
SRR2034333.103350-2/2	0.0
SRR2034333.104313-1/2	0.0
SRR2034333.104313-2/2	0.0
SRR2034333.112055-1/2	1.0
SRR2034333.112055-2/2	1.0
SRR2034333.119873-1/2	0.0
SRR2034333.119873-2/2	0.0
SRR2034333.120299-1/2	0.0
SRR2034333.120299-2/2	0.0
SRR2034333.121478-1/2	0.0
SRR2034333.121478-2/2	0.0
SRR2034333.130944-1/2	0.0
SRR2034333.130944-2/2	0.0
SRR2034333.136287-1/2	0.0
SRR2034333.136287-2/2	0.0
SRR2034333.14063-1/2	0.0
SRR2034333.14063-2/2	0.0
SRR2034333.142968-1/2	0.0
SRR2034333.142968-2/2	0.0
SRR2034333.148579-1/2	0.0
SRR2034333.148579-2/2	0.0
SRR2034333.148984-1/2	0.0
SRR2034333.148984-2/2	0.0
SRR2034333.151335-1/2	0.0
SRR2034333.151335-2/2	0.0
SRR2034333.154005-1/2	0.0
SRR2034333.154005-2/2	0.0
SRR2034333.158206-1/2	0.0
SRR2034333.158206-2/2	0.0
SRR2034333.163397-1/2	0.0
SRR2034333.163397-2/2	2.0
SRR2034333.16524-1/2	0.0
SRR2034333.16524-2/2	0.0
SRR2034333.168385-1/2	0.0
SRR2034333.168385-2/2	0.0
SRR2034333.170672-1/2	0.0
SRR2034333.170672-2/2	0.0
SRR2034333.171292-1/2	0.0
SRR2034333.171292-2/2	0.0
SRR2034333.173246-1/2	0.0
SRR2034333.173246-2/2	0.0
SRR2034333.173463-1/2	0.0
SRR2034333.173463-2/2	0.0
SRR2034333.174489-1/2	0.0
SRR2034333.174489-2/2	0.0
SRR2034333.176695-1/2	0.0
SRR2034333.176695-2/2	0.0
SRR2034333.177095-1/2	0.0
SRR2034333.177095-2/2	0.0
SRR2034333.181568-1/2	0.0
SRR2034333.181568-2/2	0.0
SRR2034333.186955-1/2	0.0
SRR2034333.186955-2/2	0.0
SRR2034333.190646-1/2	0.0
SRR2034333.190646-2/2	0.0
SRR2034333.196692-1/2	0.0
SRR2034333.196692-2/2	0.0
SRR2034333.198978-1/2	0.0
SRR2034333.198978-2/2	0.0
SRR2034333.207980-1/2	0.0
SRR2034333.207980-2/2	0.0
SRR2034333.20823-1/2	0.0
SRR2034333.20823-2/2	0.0
SRR2034333.209523-1/2	0.0
SRR2034333.209523-2/2	0.0
SRR2034333.210225-1/2	0.0
SRR2034333.210225-2/2	0.0
SRR2034333.218782-1/2	0.0
SRR2034333.218782-2/2	0.0
SRR2034333.227163-1/2	0.0
SRR2034333.227163-2/2	0.0
SRR2034333.232186-1/2	0.0
SRR2034333.232186-2/2	0.0
SRR2034333.234980-1/2	0.0
SRR2034333.234980-2/2	0.0
SRR2034333.237947-1/2	0.0
SRR2034333.237947-2/2	0.0
SRR2034333.239495-1/2	0.0
SRR2034333.239495-2/2	0.0
SRR2034333.244336-1/2	1.0
SRR2034333.244336-2/2	0.0
SRR2034333.24637-1/2	0.0
SRR2034333.24637-2/2	0.0
SRR2034333.26001-1/2	0.0
SRR2034333.26001-2/2	0.0
SRR2034333.28031-1/2	0.0
SRR2034333.28031-2/2	0.0
SRR2034333.30147-1/2	0.0
SRR2034333.30147-2/2	0.0
SRR2034333.3153-1/2	0.0
SRR2034333.3153-2/2	0.0
SRR2034333.35042-1/2	0.0
SRR2034333.35042-2/2	0.0
SRR2034333.35618-1/2	0.0
SRR2034333.35618-2/2	0.0
SRR2034333.38219-1/2	0.0
SRR2034333.38219-2/2	1.0
SRR2034333.43085-1/2	0.0
SRR2034333.43085-2/2	0.0
SRR2034333.43298-1/2	0.0
SRR2034333.43298-2/2	1.0
SRR2034333.44100-1/2	0.0
SRR2034333.44100-2/2	0.0
SRR2034333.45994-1/2	0.0
SRR2034333.45994-2/2	0.0
SRR2034333.48827-1/2	0.0
SRR2034333.48827-2/2	0.0
SRR2034333.50181-1/2	0.0
SRR2034333.50181-2/2	0.0
SRR2034333.51860-1/2	0.0
SRR2034333.51860-2/2	0.0
SRR2034333.58480-1/2	0.0
SRR2034333.58480-2/2	0.0
SRR2034333.5907-1/2	0.0
SRR2034333.5907-2/2	0.0
SRR2034333.60435-1/2	0.0
SRR2034333.60435-2/2	0.0
SRR2034333.63223-1/2	0.0
SRR2034333.63223-2/2	0.0
SRR2034333.6959-1/2	0.0
SRR2034333.6959-2/2	0.0
SRR2034333.70900-1/2	0.0
SRR2034333.70900-2/2	0.0
SRR2034333.73823-1/2	0.0
SRR2034333.73823-2/2	0.0
SRR2034333.80048-1/2	0.0
SRR2034333.80048-2/2	0.0
SRR2034333.82569-1/2	0.0
SRR2034333.82569-2/2	0.0
SRR2034333.86080-1/2	0.0
SRR2034333.86080-2/2	0.0
SRR2034333.89726-1/2	0.0
SRR2034333.89726-2/2	0.0
SRR2034333.92457-1/2	0.0
SRR2034333.92457-2/2	0.0
SRR2034333.97283-1/2	1.0
SRR2034333.97283-2/2	0.0
SRR2034333.98737-1/2	0.0
SRR2034333.98737-2/2	0.0
