	nifS_1	nifS_113
SRR2034334.102164-1/2	0.0	0.0
SRR2034334.102164-2/2	0.0	0.0
SRR2034334.112699-1/2	0.0	0.0
SRR2034334.112699-2/2	0.0	0.0
SRR2034334.118905-1/2	0.0	0.0
SRR2034334.118905-2/2	0.0	0.0
SRR2034334.119361-1/2	0.0	0.0
SRR2034334.119361-2/2	0.0	0.0
SRR2034334.124230-1/2	0.0	0.0
SRR2034334.124230-2/2	0.0	0.0
SRR2034334.128608-1/2	0.0	0.0
SRR2034334.128608-2/2	0.0	0.0
SRR2034334.13549-1/2	0.0	0.0
SRR2034334.13549-2/2	0.0	0.0
SRR2034334.138497-1/2	0.0	0.0
SRR2034334.138497-2/2	0.0	0.0
SRR2034334.143941-1/2	1.0	0.0
SRR2034334.143941-2/2	0.0	0.0
SRR2034334.157636-1/2	1.0	0.0
SRR2034334.157636-2/2	0.0	1.0
SRR2034334.166723-1/2	0.0	0.0
SRR2034334.166723-2/2	1.0	0.0
SRR2034334.169711-1/2	0.0	0.0
SRR2034334.169711-2/2	1.0	0.0
SRR2034334.175814-1/2	0.0	0.0
SRR2034334.175814-2/2	1.0	1.0
SRR2034334.191809-1/2	0.0	0.0
SRR2034334.191809-2/2	0.0	0.0
SRR2034334.193091-1/2	0.0	0.0
SRR2034334.193091-2/2	0.0	0.0
SRR2034334.198629-1/2	0.0	1.0
SRR2034334.198629-2/2	0.0	1.0
SRR2034334.204673-1/2	0.0	0.0
SRR2034334.204673-2/2	0.0	0.0
SRR2034334.215010-1/2	0.0	0.0
SRR2034334.215010-2/2	1.0	0.0
SRR2034334.220539-1/2	0.0	0.0
SRR2034334.220539-2/2	0.0	0.0
SRR2034334.222085-1/2	1.0	0.0
SRR2034334.222085-2/2	1.0	0.0
SRR2034334.251557-1/2	0.0	0.0
SRR2034334.251557-2/2	0.0	0.0
SRR2034334.251985-1/2	0.0	0.0
SRR2034334.251985-2/2	0.0	1.0
SRR2034334.258989-1/2	0.0	0.0
SRR2034334.258989-2/2	0.0	1.0
SRR2034334.259889-1/2	0.0	0.0
SRR2034334.259889-2/2	1.0	0.0
SRR2034334.270659-1/2	0.0	0.0
SRR2034334.270659-2/2	0.0	0.0
SRR2034334.284004-1/2	0.0	0.0
SRR2034334.284004-2/2	1.0	0.0
SRR2034334.284825-1/2	0.0	0.0
SRR2034334.284825-2/2	2.0	1.0
SRR2034334.287242-1/2	1.0	1.0
SRR2034334.287242-2/2	1.0	0.0
SRR2034334.296776-1/2	0.0	0.0
SRR2034334.296776-2/2	0.0	0.0
SRR2034334.301065-1/2	0.0	0.0
SRR2034334.301065-2/2	0.0	0.0
SRR2034334.305586-1/2	1.0	0.0
SRR2034334.305586-2/2	0.0	0.0
SRR2034334.310925-1/2	0.0	0.0
SRR2034334.310925-2/2	1.0	0.0
SRR2034334.316333-1/2	0.0	0.0
SRR2034334.316333-2/2	1.0	0.0
SRR2034334.326416-1/2	0.0	0.0
SRR2034334.326416-2/2	1.0	0.0
SRR2034334.347656-1/2	0.0	0.0
SRR2034334.347656-2/2	0.0	1.0
SRR2034334.354412-1/2	1.0	0.0
SRR2034334.354412-2/2	2.0	1.0
SRR2034334.367131-1/2	0.0	1.0
SRR2034334.367131-2/2	0.0	1.0
SRR2034334.375458-1/2	0.0	0.0
SRR2034334.375458-2/2	0.0	1.0
SRR2034334.379677-1/2	0.0	0.0
SRR2034334.379677-2/2	0.0	0.0
SRR2034334.395336-1/2	1.0	0.0
SRR2034334.395336-2/2	1.0	0.0
SRR2034334.403243-1/2	0.0	1.0
SRR2034334.403243-2/2	0.0	1.0
SRR2034334.403298-1/2	0.0	0.0
SRR2034334.403298-2/2	1.0	0.0
SRR2034334.407288-1/2	0.0	0.0
SRR2034334.407288-2/2	2.0	1.0
SRR2034334.414402-1/2	1.0	0.0
SRR2034334.414402-2/2	0.0	1.0
SRR2034334.417198-1/2	0.0	0.0
SRR2034334.417198-2/2	1.0	0.0
SRR2034334.42642-1/2	1.0	0.0
SRR2034334.42642-2/2	1.0	0.0
SRR2034334.444896-1/2	0.0	0.0
SRR2034334.444896-2/2	0.0	0.0
SRR2034334.444899-1/2	1.0	0.0
SRR2034334.444899-2/2	0.0	1.0
SRR2034334.448810-1/2	0.0	0.0
SRR2034334.448810-2/2	0.0	0.0
SRR2034334.452541-1/2	0.0	0.0
SRR2034334.452541-2/2	0.0	0.0
SRR2034334.453325-1/2	0.0	0.0
SRR2034334.453325-2/2	1.0	0.0
SRR2034334.470133-1/2	0.0	0.0
SRR2034334.470133-2/2	1.0	0.0
SRR2034334.48383-1/2	0.0	0.0
SRR2034334.48383-2/2	0.0	0.0
SRR2034334.490245-1/2	0.0	0.0
SRR2034334.490245-2/2	0.0	1.0
SRR2034334.498159-1/2	0.0	0.0
SRR2034334.498159-2/2	0.0	1.0
SRR2034334.508978-1/2	0.0	0.0
SRR2034334.508978-2/2	0.0	1.0
SRR2034334.510058-1/2	1.0	2.0
SRR2034334.510058-2/2	0.0	0.0
