	pyrG_168
SRR2034334.102419-1/2	0.0
SRR2034334.102419-2/2	0.0
SRR2034334.111040-1/2	0.0
SRR2034334.111040-2/2	0.0
SRR2034334.115102-1/2	0.0
SRR2034334.115102-2/2	0.0
SRR2034334.115712-1/2	0.0
SRR2034334.115712-2/2	0.0
SRR2034334.117997-1/2	0.0
SRR2034334.117997-2/2	0.0
SRR2034334.126165-1/2	0.0
SRR2034334.126165-2/2	1.0
SRR2034334.136632-1/2	0.0
SRR2034334.136632-2/2	0.0
SRR2034334.136855-1/2	0.0
SRR2034334.136855-2/2	0.0
SRR2034334.13926-1/2	0.0
SRR2034334.13926-2/2	0.0
SRR2034334.141009-1/2	0.0
SRR2034334.141009-2/2	0.0
SRR2034334.143029-1/2	0.0
SRR2034334.143029-2/2	0.0
SRR2034334.147664-1/2	0.0
SRR2034334.147664-2/2	0.0
SRR2034334.147854-1/2	0.0
SRR2034334.147854-2/2	0.0
SRR2034334.150112-1/2	0.0
SRR2034334.150112-2/2	0.0
SRR2034334.151809-1/2	0.0
SRR2034334.151809-2/2	0.0
SRR2034334.158470-1/2	0.0
SRR2034334.158470-2/2	0.0
SRR2034334.160239-1/2	0.0
SRR2034334.160239-2/2	0.0
SRR2034334.164655-1/2	0.0
SRR2034334.164655-2/2	0.0
SRR2034334.168281-1/2	0.0
SRR2034334.168281-2/2	0.0
SRR2034334.172997-1/2	0.0
SRR2034334.172997-2/2	0.0
SRR2034334.176336-1/2	0.0
SRR2034334.176336-2/2	0.0
SRR2034334.177171-1/2	0.0
SRR2034334.177171-2/2	0.0
SRR2034334.177635-1/2	0.0
SRR2034334.177635-2/2	0.0
SRR2034334.182522-1/2	0.0
SRR2034334.182522-2/2	0.0
SRR2034334.194128-1/2	0.0
SRR2034334.194128-2/2	0.0
SRR2034334.194262-1/2	0.0
SRR2034334.194262-2/2	0.0
SRR2034334.197732-1/2	1.0
SRR2034334.197732-2/2	0.0
SRR2034334.198346-1/2	0.0
SRR2034334.198346-2/2	0.0
SRR2034334.19911-1/2	0.0
SRR2034334.19911-2/2	0.0
SRR2034334.200524-1/2	0.0
SRR2034334.200524-2/2	0.0
SRR2034334.203273-1/2	0.0
SRR2034334.203273-2/2	0.0
SRR2034334.20624-1/2	0.0
SRR2034334.20624-2/2	0.0
SRR2034334.208362-1/2	0.0
SRR2034334.208362-2/2	0.0
SRR2034334.210523-1/2	0.0
SRR2034334.210523-2/2	0.0
SRR2034334.213881-1/2	1.0
SRR2034334.213881-2/2	0.0
SRR2034334.214988-1/2	0.0
SRR2034334.214988-2/2	0.0
SRR2034334.223727-1/2	0.0
SRR2034334.223727-2/2	0.0
SRR2034334.23160-1/2	0.0
SRR2034334.23160-2/2	0.0
SRR2034334.232887-1/2	0.0
SRR2034334.232887-2/2	0.0
SRR2034334.235963-1/2	0.0
SRR2034334.235963-2/2	0.0
SRR2034334.244327-1/2	0.0
SRR2034334.244327-2/2	0.0
SRR2034334.248021-1/2	0.0
SRR2034334.248021-2/2	0.0
SRR2034334.24874-1/2	0.0
SRR2034334.24874-2/2	0.0
SRR2034334.248928-1/2	0.0
SRR2034334.248928-2/2	0.0
SRR2034334.251219-1/2	0.0
SRR2034334.251219-2/2	0.0
SRR2034334.255596-1/2	0.0
SRR2034334.255596-2/2	0.0
SRR2034334.258886-1/2	0.0
SRR2034334.258886-2/2	0.0
SRR2034334.259029-1/2	0.0
SRR2034334.259029-2/2	0.0
SRR2034334.259486-1/2	0.0
SRR2034334.259486-2/2	0.0
SRR2034334.266229-1/2	0.0
SRR2034334.266229-2/2	0.0
SRR2034334.268750-1/2	0.0
SRR2034334.268750-2/2	0.0
SRR2034334.273197-1/2	0.0
SRR2034334.273197-2/2	0.0
SRR2034334.281378-1/2	0.0
SRR2034334.281378-2/2	0.0
SRR2034334.283454-1/2	0.0
SRR2034334.283454-2/2	0.0
SRR2034334.287019-1/2	0.0
SRR2034334.287019-2/2	0.0
SRR2034334.287496-1/2	0.0
SRR2034334.287496-2/2	0.0
SRR2034334.290177-1/2	0.0
SRR2034334.290177-2/2	0.0
SRR2034334.292148-1/2	0.0
SRR2034334.292148-2/2	0.0
SRR2034334.294979-1/2	0.0
SRR2034334.294979-2/2	0.0
SRR2034334.29846-1/2	0.0
SRR2034334.29846-2/2	0.0
SRR2034334.309623-1/2	0.0
SRR2034334.309623-2/2	0.0
SRR2034334.314278-1/2	0.0
SRR2034334.314278-2/2	0.0
SRR2034334.320247-1/2	0.0
SRR2034334.320247-2/2	0.0
SRR2034334.327952-1/2	0.0
SRR2034334.327952-2/2	0.0
SRR2034334.328307-1/2	0.0
SRR2034334.328307-2/2	0.0
SRR2034334.328416-1/2	0.0
SRR2034334.328416-2/2	0.0
SRR2034334.339702-1/2	0.0
SRR2034334.339702-2/2	0.0
SRR2034334.340946-1/2	0.0
SRR2034334.340946-2/2	0.0
SRR2034334.342291-1/2	0.0
SRR2034334.342291-2/2	0.0
SRR2034334.343744-1/2	0.0
SRR2034334.343744-2/2	0.0
SRR2034334.348426-1/2	0.0
SRR2034334.348426-2/2	0.0
SRR2034334.354962-1/2	0.0
SRR2034334.354962-2/2	0.0
SRR2034334.360061-1/2	0.0
SRR2034334.360061-2/2	0.0
SRR2034334.360539-1/2	0.0
SRR2034334.360539-2/2	0.0
SRR2034334.361071-1/2	0.0
SRR2034334.361071-2/2	0.0
SRR2034334.364682-1/2	0.0
SRR2034334.364682-2/2	0.0
SRR2034334.368791-1/2	0.0
SRR2034334.368791-2/2	0.0
SRR2034334.37054-1/2	0.0
SRR2034334.37054-2/2	0.0
SRR2034334.370585-1/2	0.0
SRR2034334.370585-2/2	0.0
