	recG_13	recG_15	recG_16
SRR2034334.102510-1/2	0.0	0.0	0.0
SRR2034334.102510-2/2	1.0	0.0	0.0
SRR2034334.103093-1/2	0.0	0.0	0.0
SRR2034334.103093-2/2	2.0	1.0	1.0
SRR2034334.106257-1/2	-1.0	1.0	0.0
SRR2034334.106257-2/2	-1.0	0.0	0.0
SRR2034334.108426-1/2	0.0	0.0	0.0
SRR2034334.108426-2/2	0.0	0.0	0.0
SRR2034334.115047-1/2	0.0	0.0	0.0
SRR2034334.115047-2/2	1.0	0.0	0.0
SRR2034334.119125-1/2	1.0	1.0	1.0
SRR2034334.119125-2/2	0.0	0.0	0.0
SRR2034334.122601-1/2	1.0	0.0	0.0
SRR2034334.122601-2/2	1.0	0.0	0.0
SRR2034334.124451-1/2	1.0	0.0	0.0
SRR2034334.124451-2/2	0.0	0.0	0.0
SRR2034334.124661-1/2	1.0	0.0	0.0
SRR2034334.124661-2/2	1.0	0.0	0.0
SRR2034334.126563-1/2	-1.0	0.0	0.0
SRR2034334.126563-2/2	-1.0	0.0	1.0
SRR2034334.136457-1/2	0.0	0.0	0.0
SRR2034334.136457-2/2	1.0	0.0	0.0
SRR2034334.1384-1/2	1.0	0.0	0.0
SRR2034334.1384-2/2	0.0	0.0	0.0
SRR2034334.140507-1/2	0.0	0.0	0.0
SRR2034334.140507-2/2	1.0	0.0	0.0
SRR2034334.144168-1/2	-1.0	0.0	1.0
SRR2034334.144168-2/2	-1.0	0.0	0.0
SRR2034334.145010-1/2	0.0	0.0	0.0
SRR2034334.145010-2/2	0.0	0.0	0.0
SRR2034334.145619-1/2	0.0	0.0	0.0
SRR2034334.145619-2/2	0.0	0.0	0.0
SRR2034334.147160-1/2	1.0	0.0	0.0
SRR2034334.147160-2/2	1.0	0.0	0.0
SRR2034334.149212-1/2	1.0	0.0	1.0
SRR2034334.149212-2/2	1.0	0.0	0.0
SRR2034334.150106-1/2	0.0	0.0	0.0
SRR2034334.150106-2/2	0.0	0.0	0.0
SRR2034334.151998-1/2	1.0	0.0	0.0
SRR2034334.151998-2/2	1.0	0.0	0.0
SRR2034334.153349-1/2	1.0	0.0	0.0
SRR2034334.153349-2/2	0.0	0.0	0.0
SRR2034334.154403-1/2	1.0	0.0	0.0
SRR2034334.154403-2/2	1.0	1.0	1.0
SRR2034334.162661-1/2	-1.0	0.0	1.0
SRR2034334.162661-2/2	-1.0	0.0	0.0
SRR2034334.164201-1/2	1.0	0.0	0.0
SRR2034334.164201-2/2	1.0	0.0	0.0
SRR2034334.164258-1/2	-1.0	0.0	1.0
SRR2034334.164258-2/2	-1.0	0.0	0.0
SRR2034334.165141-1/2	0.0	0.0	1.0
SRR2034334.165141-2/2	1.0	0.0	0.0
SRR2034334.165938-1/2	-1.0	1.0	0.0
