	pepX_115	pepX_4
SRR2034335.10278-1/2	0.0	0.0
SRR2034335.10278-2/2	0.0	1.0
SRR2034335.103150-1/2	0.0	1.0
SRR2034335.103150-2/2	0.0	1.0
SRR2034335.107186-1/2	0.0	1.0
SRR2034335.107186-2/2	0.0	1.0
SRR2034335.119817-1/2	0.0	0.0
SRR2034335.119817-2/2	0.0	1.0
SRR2034335.124011-1/2	0.0	1.0
SRR2034335.124011-2/2	0.0	0.0
SRR2034335.13434-1/2	0.0	1.0
SRR2034335.13434-2/2	1.0	0.0
SRR2034335.13921-1/2	0.0	1.0
SRR2034335.13921-2/2	1.0	0.0
SRR2034335.14579-1/2	0.0	1.0
SRR2034335.14579-2/2	1.0	0.0
SRR2034335.148948-1/2	1.0	0.0
SRR2034335.148948-2/2	0.0	1.0
SRR2034335.151662-1/2	0.0	1.0
SRR2034335.151662-2/2	0.0	0.0
SRR2034335.152046-1/2	0.0	1.0
SRR2034335.152046-2/2	0.0	1.0
SRR2034335.154565-1/2	0.0	0.0
SRR2034335.154565-2/2	0.0	0.0
SRR2034335.161002-1/2	0.0	0.0
SRR2034335.161002-2/2	0.0	0.0
SRR2034335.161818-1/2	0.0	0.0
SRR2034335.161818-2/2	0.0	0.0
SRR2034335.163761-1/2	1.0	0.0
SRR2034335.163761-2/2	0.0	1.0
SRR2034335.16384-1/2	0.0	0.0
SRR2034335.16384-2/2	1.0	0.0
SRR2034335.165802-1/2	1.0	0.0
SRR2034335.165802-2/2	0.0	1.0
SRR2034335.167847-1/2	0.0	1.0
SRR2034335.167847-2/2	0.0	1.0
SRR2034335.167984-1/2	1.0	0.0
SRR2034335.167984-2/2	1.0	0.0
SRR2034335.168818-1/2	0.0	1.0
SRR2034335.168818-2/2	0.0	1.0
SRR2034335.169314-1/2	1.0	0.0
SRR2034335.169314-2/2	0.0	1.0
SRR2034335.169967-1/2	0.0	0.0
SRR2034335.169967-2/2	0.0	1.0
SRR2034335.170085-1/2	0.0	0.0
SRR2034335.170085-2/2	0.0	1.0
SRR2034335.173149-1/2	0.0	1.0
SRR2034335.173149-2/2	0.0	1.0
SRR2034335.173203-1/2	0.0	0.0
SRR2034335.173203-2/2	0.0	1.0
SRR2034335.174483-1/2	0.0	1.0
SRR2034335.174483-2/2	1.0	0.0
SRR2034335.177752-1/2	0.0	1.0
SRR2034335.177752-2/2	1.0	0.0
SRR2034335.186745-1/2	0.0	0.0
SRR2034335.186745-2/2	0.0	1.0
SRR2034335.187904-1/2	0.0	1.0
SRR2034335.187904-2/2	0.0	0.0
SRR2034335.190404-1/2	0.0	0.0
SRR2034335.190404-2/2	0.0	1.0
SRR2034335.192674-1/2	0.0	1.0
SRR2034335.192674-2/2	0.0	0.0
SRR2034335.194177-1/2	1.0	0.0
SRR2034335.194177-2/2	1.0	0.0
SRR2034335.198132-1/2	0.0	1.0
SRR2034335.198132-2/2	0.0	1.0
SRR2034335.201276-1/2	1.0	0.0
SRR2034335.201276-2/2	0.0	1.0
SRR2034335.203557-1/2	0.0	1.0
SRR2034335.203557-2/2	0.0	0.0
SRR2034335.208100-1/2	0.0	1.0
SRR2034335.208100-2/2	0.0	1.0
SRR2034335.213217-1/2	0.0	1.0
SRR2034335.213217-2/2	0.0	1.0
SRR2034335.214739-1/2	0.0	1.0
SRR2034335.214739-2/2	0.0	1.0
SRR2034335.215715-1/2	0.0	1.0
SRR2034335.215715-2/2	0.0	0.0
SRR2034335.217453-1/2	0.0	0.0
SRR2034335.217453-2/2	0.0	0.0
SRR2034335.224314-1/2	0.0	1.0
SRR2034335.224314-2/2	0.0	1.0
SRR2034335.225509-1/2	0.0	1.0
SRR2034335.225509-2/2	0.0	1.0
SRR2034335.23281-1/2	0.0	1.0
SRR2034335.23281-2/2	0.0	1.0
SRR2034335.235752-1/2	0.0	1.0
SRR2034335.235752-2/2	0.0	0.0
SRR2034335.246213-1/2	0.0	1.0
SRR2034335.246213-2/2	1.0	0.0
SRR2034335.246785-1/2	0.0	0.0
SRR2034335.246785-2/2	0.0	0.0
SRR2034335.25551-1/2	0.0	1.0
SRR2034335.25551-2/2	0.0	0.0
SRR2034335.262139-1/2	0.0	1.0
SRR2034335.262139-2/2	0.0	1.0
SRR2034335.263675-1/2	0.0	0.0
SRR2034335.263675-2/2	0.0	1.0
SRR2034335.266462-1/2	0.0	0.0
SRR2034335.266462-2/2	0.0	1.0
SRR2034335.269045-1/2	0.0	0.0
SRR2034335.269045-2/2	0.0	1.0
SRR2034335.271587-1/2	0.0	0.0
SRR2034335.271587-2/2	0.0	1.0
SRR2034335.275485-1/2	1.0	0.0
SRR2034335.275485-2/2	0.0	1.0
SRR2034335.281674-1/2	0.0	1.0
SRR2034335.281674-2/2	0.0	0.0
SRR2034335.284920-1/2	1.0	0.0
SRR2034335.284920-2/2	0.0	1.0
SRR2034335.285982-1/2	1.0	0.0
SRR2034335.285982-2/2	0.0	1.0
SRR2034335.302128-1/2	0.0	1.0
SRR2034335.302128-2/2	0.0	1.0
SRR2034335.303083-1/2	0.0	0.0
SRR2034335.303083-2/2	0.0	1.0
SRR2034335.306389-1/2	1.0	0.0
SRR2034335.306389-2/2	0.0	1.0
SRR2034335.315979-1/2	0.0	0.0
SRR2034335.315979-2/2	2.0	2.0
SRR2034335.321540-1/2	0.0	1.0
SRR2034335.321540-2/2	0.0	1.0
SRR2034335.322453-1/2	0.0	0.0
SRR2034335.322453-2/2	2.0	2.0
SRR2034335.32429-1/2	0.0	0.0
SRR2034335.32429-2/2	0.0	1.0
SRR2034335.327918-1/2	0.0	0.0
SRR2034335.327918-2/2	0.0	0.0
SRR2034335.330136-1/2	0.0	1.0
SRR2034335.330136-2/2	0.0	0.0
SRR2034335.331099-1/2	1.0	0.0
SRR2034335.331099-2/2	0.0	1.0
SRR2034335.332891-1/2	0.0	1.0
SRR2034335.332891-2/2	1.0	0.0
SRR2034335.343732-1/2	0.0	0.0
SRR2034335.343732-2/2	0.0	1.0
SRR2034335.344415-1/2	1.0	1.0
SRR2034335.344415-2/2	0.0	0.0
SRR2034335.345137-1/2	0.0	0.0
SRR2034335.345137-2/2	0.0	1.0
SRR2034335.348095-1/2	1.0	0.0
SRR2034335.348095-2/2	0.0	1.0
SRR2034335.349709-1/2	0.0	1.0
SRR2034335.349709-2/2	0.0	0.0
SRR2034335.363740-1/2	0.0	1.0
SRR2034335.363740-2/2	0.0	0.0
SRR2034335.364697-1/2	0.0	1.0
SRR2034335.364697-2/2	0.0	1.0
SRR2034335.366552-1/2	0.0	1.0
SRR2034335.366552-2/2	1.0	0.0
SRR2034335.37037-1/2	0.0	0.0
SRR2034335.37037-2/2	1.0	2.0
SRR2034335.377308-1/2	0.0	1.0
SRR2034335.377308-2/2	0.0	1.0
SRR2034335.384153-1/2	1.0	2.0
SRR2034335.384153-2/2	0.0	0.0
SRR2034335.384532-1/2	0.0	1.0
SRR2034335.384532-2/2	1.0	0.0
SRR2034335.384673-1/2	0.0	1.0
SRR2034335.384673-2/2	0.0	1.0
SRR2034335.390598-1/2	0.0	0.0
SRR2034335.390598-2/2	0.0	0.0
SRR2034335.391044-1/2	0.0	1.0
SRR2034335.391044-2/2	0.0	1.0
SRR2034335.39259-1/2	1.0	0.0
SRR2034335.39259-2/2	0.0	1.0
SRR2034335.394224-1/2	0.0	0.0
SRR2034335.394224-2/2	0.0	1.0
SRR2034335.397179-1/2	0.0	0.0
SRR2034335.397179-2/2	0.0	1.0
SRR2034335.397187-1/2	0.0	1.0
SRR2034335.397187-2/2	0.0	0.0
SRR2034335.397514-1/2	0.0	1.0
SRR2034335.397514-2/2	0.0	1.0
SRR2034335.402399-1/2	0.0	0.0
SRR2034335.402399-2/2	0.0	1.0
SRR2034335.406974-1/2	0.0	1.0
SRR2034335.406974-2/2	0.0	1.0
SRR2034335.409881-1/2	0.0	0.0
SRR2034335.409881-2/2	0.0	1.0
SRR2034335.411820-1/2	1.0	0.0
SRR2034335.411820-2/2	0.0	1.0
SRR2034335.413743-1/2	1.0	0.0
SRR2034335.413743-2/2	1.0	0.0
SRR2034335.419700-1/2	0.0	0.0
SRR2034335.419700-2/2	0.0	0.0
SRR2034335.420158-1/2	0.0	0.0
SRR2034335.420158-2/2	0.0	1.0
SRR2034335.422687-1/2	0.0	0.0
SRR2034335.422687-2/2	0.0	0.0
SRR2034335.427085-1/2	0.0	1.0
SRR2034335.427085-2/2	0.0	1.0
SRR2034335.430854-1/2	0.0	0.0
SRR2034335.430854-2/2	1.0	0.0
SRR2034335.431797-1/2	0.0	1.0
SRR2034335.431797-2/2	1.0	0.0
SRR2034335.439073-1/2	0.0	1.0
SRR2034335.439073-2/2	0.0	0.0
SRR2034335.441858-1/2	0.0	1.0
SRR2034335.441858-2/2	0.0	1.0
SRR2034335.44266-1/2	0.0	0.0
SRR2034335.44266-2/2	0.0	1.0
SRR2034335.446283-1/2	1.0	0.0
SRR2034335.446283-2/2	0.0	1.0
SRR2034335.448667-1/2	1.0	0.0
SRR2034335.448667-2/2	0.0	1.0
SRR2034335.449198-1/2	0.0	1.0
SRR2034335.449198-2/2	1.0	0.0
SRR2034335.450018-1/2	0.0	0.0
SRR2034335.450018-2/2	0.0	1.0
SRR2034335.451551-1/2	0.0	1.0
SRR2034335.451551-2/2	0.0	1.0
SRR2034335.461222-1/2	0.0	1.0
SRR2034335.461222-2/2	1.0	0.0
SRR2034335.464196-1/2	0.0	0.0
SRR2034335.464196-2/2	0.0	1.0
SRR2034335.467454-1/2	1.0	0.0
SRR2034335.467454-2/2	0.0	1.0
SRR2034335.467897-1/2	0.0	0.0
SRR2034335.467897-2/2	0.0	1.0
SRR2034335.469088-1/2	0.0	1.0
SRR2034335.469088-2/2	0.0	1.0
SRR2034335.469803-1/2	0.0	1.0
SRR2034335.469803-2/2	0.0	1.0
SRR2034335.470944-1/2	1.0	0.0
SRR2034335.470944-2/2	0.0	1.0
SRR2034335.473291-1/2	1.0	0.0
SRR2034335.473291-2/2	0.0	1.0
SRR2034335.47334-1/2	0.0	0.0
SRR2034335.47334-2/2	0.0	0.0
SRR2034335.476589-1/2	0.0	1.0
SRR2034335.476589-2/2	0.0	1.0
SRR2034335.478203-1/2	0.0	0.0
SRR2034335.478203-2/2	0.0	1.0
SRR2034335.478934-1/2	1.0	0.0
SRR2034335.478934-2/2	1.0	0.0
SRR2034335.484791-1/2	0.0	1.0
SRR2034335.484791-2/2	0.0	1.0
SRR2034335.492888-1/2	0.0	0.0
SRR2034335.492888-2/2	0.0	1.0
SRR2034335.495682-1/2	0.0	0.0
SRR2034335.495682-2/2	0.0	0.0
SRR2034335.4968-1/2	0.0	0.0
SRR2034335.4968-2/2	0.0	1.0
SRR2034335.51229-1/2	0.0	0.0
SRR2034335.51229-2/2	0.0	1.0
SRR2034335.52810-1/2	0.0	0.0
SRR2034335.52810-2/2	0.0	0.0
SRR2034335.529593-1/2	0.0	1.0
