	recG_15	recG_16
SRR2034335.103616-1/2	0.0	0.0
SRR2034335.103616-2/2	0.0	0.0
SRR2034335.105812-1/2	0.0	0.0
SRR2034335.105812-2/2	0.0	0.0
SRR2034335.108936-1/2	1.0	0.0
SRR2034335.108936-2/2	0.0	0.0
SRR2034335.113451-1/2	0.0	0.0
SRR2034335.113451-2/2	1.0	0.0
SRR2034335.115988-1/2	0.0	0.0
SRR2034335.115988-2/2	0.0	0.0
SRR2034335.118023-1/2	0.0	0.0
SRR2034335.118023-2/2	0.0	1.0
SRR2034335.118433-1/2	1.0	0.0
SRR2034335.118433-2/2	0.0	0.0
SRR2034335.118558-1/2	0.0	0.0
SRR2034335.118558-2/2	0.0	0.0
SRR2034335.119332-1/2	0.0	1.0
SRR2034335.119332-2/2	1.0	1.0
SRR2034335.127690-1/2	0.0	0.0
SRR2034335.127690-2/2	0.0	0.0
SRR2034335.128601-1/2	0.0	0.0
SRR2034335.128601-2/2	0.0	0.0
SRR2034335.129139-1/2	0.0	0.0
SRR2034335.129139-2/2	0.0	0.0
SRR2034335.129839-1/2	0.0	0.0
SRR2034335.129839-2/2	1.0	0.0
SRR2034335.130548-1/2	0.0	0.0
SRR2034335.130548-2/2	0.0	0.0
SRR2034335.133237-1/2	0.0	0.0
SRR2034335.133237-2/2	0.0	0.0
SRR2034335.140284-1/2	0.0	1.0
SRR2034335.140284-2/2	0.0	1.0
SRR2034335.14060-1/2	0.0	0.0
SRR2034335.14060-2/2	0.0	0.0
SRR2034335.142847-1/2	0.0	0.0
SRR2034335.142847-2/2	0.0	0.0
SRR2034335.143330-1/2	0.0	0.0
SRR2034335.143330-2/2	0.0	0.0
SRR2034335.144464-1/2	0.0	0.0
SRR2034335.144464-2/2	1.0	0.0
SRR2034335.14655-1/2	0.0	0.0
SRR2034335.14655-2/2	0.0	0.0
SRR2034335.146664-1/2	0.0	0.0
SRR2034335.146664-2/2	0.0	0.0
SRR2034335.147223-1/2	1.0	0.0
SRR2034335.147223-2/2	0.0	0.0
SRR2034335.15082-1/2	0.0	0.0
SRR2034335.15082-2/2	0.0	0.0
SRR2034335.150848-1/2	1.0	0.0
SRR2034335.150848-2/2	2.0	1.0
SRR2034335.153024-1/2	0.0	0.0
SRR2034335.153024-2/2	0.0	0.0
SRR2034335.155469-1/2	0.0	0.0
SRR2034335.155469-2/2	0.0	0.0
SRR2034335.156408-1/2	1.0	2.0
SRR2034335.156408-2/2	1.0	1.0
SRR2034335.157893-1/2	0.0	0.0
SRR2034335.157893-2/2	0.0	0.0
SRR2034335.166483-1/2	0.0	1.0
SRR2034335.166483-2/2	0.0	1.0
SRR2034335.173955-1/2	1.0	0.0
SRR2034335.173955-2/2	0.0	0.0
SRR2034335.177770-1/2	0.0	0.0
SRR2034335.177770-2/2	0.0	0.0
SRR2034335.180138-1/2	1.0	0.0
SRR2034335.180138-2/2	0.0	0.0
SRR2034335.187562-1/2	0.0	1.0
SRR2034335.187562-2/2	0.0	0.0
SRR2034335.188553-1/2	0.0	0.0
SRR2034335.188553-2/2	0.0	0.0
SRR2034335.19498-1/2	0.0	0.0
SRR2034335.19498-2/2	0.0	0.0
SRR2034335.197829-1/2	0.0	0.0
SRR2034335.197829-2/2	0.0	0.0
SRR2034335.200311-1/2	0.0	1.0
SRR2034335.200311-2/2	0.0	0.0
SRR2034335.200558-1/2	1.0	1.0
SRR2034335.200558-2/2	0.0	0.0
SRR2034335.204215-1/2	1.0	0.0
SRR2034335.204215-2/2	0.0	0.0
SRR2034335.20683-1/2	1.0	0.0
SRR2034335.20683-2/2	0.0	0.0
SRR2034335.210499-1/2	1.0	1.0
SRR2034335.210499-2/2	0.0	0.0
SRR2034335.215427-1/2	0.0	0.0
SRR2034335.215427-2/2	0.0	0.0
SRR2034335.217260-1/2	0.0	0.0
SRR2034335.217260-2/2	0.0	0.0
SRR2034335.21728-1/2	1.0	0.0
