	rplB_9	rplB_94
SRR2034335.100509-1/2	0.0	0.0
SRR2034335.100509-2/2	1.0	0.0
SRR2034335.105370-1/2	1.0	0.0
SRR2034335.105370-2/2	1.0	0.0
SRR2034335.118404-1/2	0.0	0.0
SRR2034335.118404-2/2	0.0	0.0
SRR2034335.119574-1/2	1.0	0.0
SRR2034335.119574-2/2	1.0	0.0
SRR2034335.119671-1/2	1.0	0.0
SRR2034335.119671-2/2	2.0	0.0
SRR2034335.120865-1/2	1.0	0.0
SRR2034335.120865-2/2	0.0	0.0
SRR2034335.124591-1/2	0.0	0.0
SRR2034335.124591-2/2	0.0	0.0
SRR2034335.130390-1/2	1.0	0.0
SRR2034335.130390-2/2	1.0	0.0
SRR2034335.133135-1/2	-1.0	0.0
SRR2034335.133135-2/2	-1.0	0.0
SRR2034335.140794-1/2	1.0	0.0
SRR2034335.140794-2/2	0.0	0.0
SRR2034335.141129-1/2	1.0	0.0
SRR2034335.141129-2/2	1.0	0.0
SRR2034335.145589-1/2	1.0	0.0
SRR2034335.145589-2/2	0.0	0.0
SRR2034335.156540-1/2	0.0	0.0
SRR2034335.156540-2/2	1.0	0.0
SRR2034335.160478-1/2	2.0	0.0
SRR2034335.160478-2/2	1.0	0.0
SRR2034335.162383-1/2	0.0	0.0
SRR2034335.162383-2/2	0.0	0.0
SRR2034335.167367-1/2	1.0	0.0
SRR2034335.167367-2/2	1.0	0.0
SRR2034335.171845-1/2	1.0	0.0
SRR2034335.171845-2/2	0.0	0.0
SRR2034335.172134-1/2	0.0	0.0
SRR2034335.172134-2/2	0.0	0.0
SRR2034335.177213-1/2	0.0	0.0
SRR2034335.177213-2/2	0.0	0.0
SRR2034335.182103-1/2	1.0	0.0
SRR2034335.182103-2/2	0.0	0.0
SRR2034335.190403-1/2	0.0	0.0
SRR2034335.190403-2/2	1.0	0.0
SRR2034335.19702-1/2	1.0	0.0
SRR2034335.19702-2/2	0.0	0.0
SRR2034335.203965-1/2	0.0	0.0
SRR2034335.203965-2/2	0.0	0.0
SRR2034335.204339-1/2	0.0	0.0
SRR2034335.204339-2/2	0.0	0.0
SRR2034335.206204-1/2	0.0	0.0
SRR2034335.206204-2/2	0.0	0.0
SRR2034335.208905-1/2	-1.0	0.0
SRR2034335.208905-2/2	-1.0	0.0
SRR2034335.209952-1/2	1.0	0.0
SRR2034335.209952-2/2	0.0	0.0
SRR2034335.211025-1/2	1.0	0.0
