,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
0,1,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_85,recG_91,rplB_294,uvrA_288,New
1,2,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_85,recG_91,rplB_294,uvrA_28,New
2,3,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_85,recG_91,rplB_294,uvrA_29,New
3,4,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_85,recG_91,rplB_23,uvrA_288,New
4,5,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_85,recG_91,rplB_23,uvrA_28,New
5,6,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_85,recG_91,rplB_23,uvrA_29,New
6,7,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_85,recG_27,rplB_294,uvrA_288,New
7,8,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_85,recG_27,rplB_294,uvrA_28,New
8,9,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_85,recG_27,rplB_294,uvrA_29,New
9,10,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_85,recG_27,rplB_23,uvrA_288,New
10,11,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_85,recG_27,rplB_23,uvrA_28,New
11,12,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_85,recG_27,rplB_23,uvrA_29,New
12,13,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_85,recG_259,rplB_294,uvrA_288,New
13,14,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_85,recG_259,rplB_294,uvrA_28,New
14,15,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_85,recG_259,rplB_294,uvrA_29,New
15,16,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_85,recG_259,rplB_23,uvrA_288,New
16,17,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_85,recG_259,rplB_23,uvrA_28,New
17,18,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_85,recG_259,rplB_23,uvrA_29,New
18,19,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_282,recG_91,rplB_294,uvrA_288,New
19,20,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_282,recG_91,rplB_294,uvrA_28,New
20,21,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_282,recG_91,rplB_294,uvrA_29,New
21,22,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_282,recG_91,rplB_23,uvrA_288,New
22,23,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_282,recG_91,rplB_23,uvrA_28,New
23,24,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_282,recG_91,rplB_23,uvrA_29,New
24,25,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_282,recG_27,rplB_294,uvrA_288,New
25,26,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_282,recG_27,rplB_294,uvrA_28,New
26,27,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_282,recG_27,rplB_294,uvrA_29,New
27,28,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_282,recG_27,rplB_23,uvrA_288,New
28,29,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_282,recG_27,rplB_23,uvrA_28,New
29,30,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_282,recG_27,rplB_23,uvrA_29,New
30,31,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_282,recG_259,rplB_294,uvrA_288,New
31,32,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_282,recG_259,rplB_294,uvrA_28,New
32,33,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_282,recG_259,rplB_294,uvrA_29,New
33,34,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_282,recG_259,rplB_23,uvrA_288,New
34,35,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_282,recG_259,rplB_23,uvrA_28,New
35,36,clpA_51,clpX_252,nifS_298,pepX_86,pyrG_282,recG_259,rplB_23,uvrA_29,New
36,37,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_91,rplB_294,uvrA_288,New
37,38,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_91,rplB_294,uvrA_28,New
38,39,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_91,rplB_294,uvrA_29,New
39,40,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_91,rplB_23,uvrA_288,New
40,41,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_91,rplB_23,uvrA_28,New
41,42,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_91,rplB_23,uvrA_29,New
42,43,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_27,rplB_294,uvrA_288,New
43,44,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_27,rplB_294,uvrA_28,New
44,45,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_27,rplB_294,uvrA_29,New
45,46,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_27,rplB_23,uvrA_288,New
46,47,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_27,rplB_23,uvrA_28,New
47,48,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_27,rplB_23,uvrA_29,New
48,49,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_259,rplB_294,uvrA_288,New
49,50,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_259,rplB_294,uvrA_28,New
50,51,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_259,rplB_294,uvrA_29,New
51,52,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_259,rplB_23,uvrA_288,New
52,53,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_259,rplB_23,uvrA_28,New
53,54,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_85,recG_259,rplB_23,uvrA_29,New
54,55,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_91,rplB_294,uvrA_288,New
55,56,clpA_51,clpX_252,nifS_298,pepX_261,pyrG_282,recG_91,rplB_294,uvrA_28,New
