,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
0,1,clpA_144,clpX_103,nifS_24,pepX_130,pyrG_128,recG_127,rplB_23,uvrA_42,New
1,2,clpA_144,clpX_103,nifS_24,pepX_130,pyrG_128,recG_127,rplB_23,uvrA_28,New
2,3,clpA_144,clpX_103,nifS_24,pepX_130,pyrG_128,recG_127,rplB_110,uvrA_42,New
3,4,clpA_144,clpX_103,nifS_24,pepX_130,pyrG_128,recG_127,rplB_110,uvrA_28,New
4,5,clpA_144,clpX_103,nifS_24,pepX_130,pyrG_128,recG_92,rplB_23,uvrA_42,New
5,6,clpA_144,clpX_103,nifS_24,pepX_130,pyrG_128,recG_92,rplB_23,uvrA_28,New
6,7,clpA_144,clpX_103,nifS_24,pepX_130,pyrG_128,recG_92,rplB_110,uvrA_42,New
7,8,clpA_144,clpX_103,nifS_24,pepX_130,pyrG_128,recG_92,rplB_110,uvrA_28,New
8,9,clpA_144,clpX_103,nifS_24,pepX_130,pyrG_98,recG_127,rplB_23,uvrA_42,New
9,10,clpA_144,clpX_103,nifS_24,pepX_130,pyrG_98,recG_127,rplB_23,uvrA_28,New
10,11,clpA_144,clpX_103,nifS_24,pepX_130,pyrG_98,recG_127,rplB_110,uvrA_42,New
11,12,clpA_144,clpX_103,nifS_24,pepX_130,pyrG_98,recG_127,rplB_110,uvrA_28,New
12,13,clpA_144,clpX_103,nifS_24,pepX_130,pyrG_98,recG_92,rplB_23,uvrA_42,New
13,14,clpA_144,clpX_103,nifS_24,pepX_130,pyrG_98,recG_92,rplB_23,uvrA_28,New
14,15,clpA_144,clpX_103,nifS_24,pepX_130,pyrG_98,recG_92,rplB_110,uvrA_42,New
15,16,clpA_144,clpX_103,nifS_24,pepX_130,pyrG_98,recG_92,rplB_110,uvrA_28,New
16,17,clpA_144,clpX_103,nifS_24,pepX_31,pyrG_128,recG_127,rplB_23,uvrA_42,New
17,18,clpA_144,clpX_103,nifS_24,pepX_31,pyrG_128,recG_127,rplB_23,uvrA_28,New
18,19,clpA_144,clpX_103,nifS_24,pepX_31,pyrG_128,recG_127,rplB_110,uvrA_42,New
19,20,clpA_144,clpX_103,nifS_24,pepX_31,pyrG_128,recG_127,rplB_110,uvrA_28,New
20,21,clpA_144,clpX_103,nifS_24,pepX_31,pyrG_128,recG_92,rplB_23,uvrA_42,New
21,22,clpA_144,clpX_103,nifS_24,pepX_31,pyrG_128,recG_92,rplB_23,uvrA_28,New
22,23,clpA_144,clpX_103,nifS_24,pepX_31,pyrG_128,recG_92,rplB_110,uvrA_42,New
23,24,clpA_144,clpX_103,nifS_24,pepX_31,pyrG_128,recG_92,rplB_110,uvrA_28,New
24,25,clpA_144,clpX_103,nifS_24,pepX_31,pyrG_98,recG_127,rplB_23,uvrA_42,New
25,26,clpA_144,clpX_103,nifS_24,pepX_31,pyrG_98,recG_127,rplB_23,uvrA_28,New
26,27,clpA_144,clpX_103,nifS_24,pepX_31,pyrG_98,recG_127,rplB_110,uvrA_42,New
27,28,clpA_144,clpX_103,nifS_24,pepX_31,pyrG_98,recG_127,rplB_110,uvrA_28,New
28,29,clpA_144,clpX_103,nifS_24,pepX_31,pyrG_98,recG_92,rplB_23,uvrA_42,New
29,30,clpA_144,clpX_103,nifS_24,pepX_31,pyrG_98,recG_92,rplB_23,uvrA_28,New
30,31,clpA_144,clpX_103,nifS_24,pepX_31,pyrG_98,recG_92,rplB_110,uvrA_42,New
31,32,clpA_144,clpX_103,nifS_24,pepX_31,pyrG_98,recG_92,rplB_110,uvrA_28,New
32,33,clpA_144,clpX_103,nifS_43,pepX_130,pyrG_128,recG_127,rplB_23,uvrA_42,New
33,34,clpA_144,clpX_103,nifS_43,pepX_130,pyrG_128,recG_127,rplB_23,uvrA_28,New
34,35,clpA_144,clpX_103,nifS_43,pepX_130,pyrG_128,recG_127,rplB_110,uvrA_42,Existing
35,36,clpA_144,clpX_103,nifS_43,pepX_130,pyrG_128,recG_127,rplB_110,uvrA_28,New
36,37,clpA_144,clpX_103,nifS_43,pepX_130,pyrG_128,recG_92,rplB_23,uvrA_42,New
37,38,clpA_144,clpX_103,nifS_43,pepX_130,pyrG_128,recG_92,rplB_23,uvrA_28,New
38,39,clpA_144,clpX_103,nifS_43,pepX_130,pyrG_128,recG_92,rplB_110,uvrA_42,New
39,40,clpA_144,clpX_103,nifS_43,pepX_130,pyrG_128,recG_92,rplB_110,uvrA_28,New
40,41,clpA_144,clpX_103,nifS_43,pepX_130,pyrG_98,recG_127,rplB_23,uvrA_42,New
41,42,clpA_144,clpX_103,nifS_43,pepX_130,pyrG_98,recG_127,rplB_23,uvrA_28,New
42,43,clpA_144,clpX_103,nifS_43,pepX_130,pyrG_98,recG_127,rplB_110,uvrA_42,New
43,44,clpA_144,clpX_103,nifS_43,pepX_130,pyrG_98,recG_127,rplB_110,uvrA_28,New
44,45,clpA_144,clpX_103,nifS_43,pepX_130,pyrG_98,recG_92,rplB_23,uvrA_42,New
45,46,clpA_144,clpX_103,nifS_43,pepX_130,pyrG_98,recG_92,rplB_23,uvrA_28,New
46,47,clpA_144,clpX_103,nifS_43,pepX_130,pyrG_98,recG_92,rplB_110,uvrA_42,New
47,48,clpA_144,clpX_103,nifS_43,pepX_130,pyrG_98,recG_92,rplB_110,uvrA_28,New
48,49,clpA_144,clpX_103,nifS_43,pepX_31,pyrG_128,recG_127,rplB_23,uvrA_42,New
49,50,clpA_144,clpX_103,nifS_43,pepX_31,pyrG_128,recG_127,rplB_23,uvrA_28,New
