	uvrA_7	uvrA_8
SRR2034335.102356-1/2	0.0	0.0
SRR2034335.102356-2/2	0.0	0.0
SRR2034335.102920-1/2	2.0	0.0
SRR2034335.102920-2/2	1.0	0.0
SRR2034335.10902-1/2	2.0	0.0
SRR2034335.10902-2/2	0.0	0.0
SRR2034335.114652-1/2	2.0	0.0
SRR2034335.114652-2/2	0.0	0.0
SRR2034335.125224-1/2	2.0	1.0
SRR2034335.125224-2/2	1.0	0.0
SRR2034335.125277-1/2	0.0	0.0
SRR2034335.125277-2/2	0.0	0.0
SRR2034335.13209-1/2	2.0	0.0
SRR2034335.13209-2/2	0.0	0.0
SRR2034335.135279-1/2	0.0	0.0
SRR2034335.135279-2/2	1.0	0.0
SRR2034335.13669-1/2	2.0	0.0
SRR2034335.13669-2/2	0.0	0.0
SRR2034335.141744-1/2	2.0	0.0
SRR2034335.141744-2/2	0.0	0.0
SRR2034335.141816-1/2	0.0	0.0
SRR2034335.141816-2/2	1.0	0.0
SRR2034335.143995-1/2	1.0	0.0
SRR2034335.143995-2/2	1.0	0.0
SRR2034335.145169-1/2	0.0	0.0
SRR2034335.145169-2/2	0.0	0.0
SRR2034335.146140-1/2	1.0	0.0
SRR2034335.146140-2/2	0.0	0.0
SRR2034335.146808-1/2	2.0	0.0
SRR2034335.146808-2/2	0.0	0.0
SRR2034335.146905-1/2	2.0	0.0
SRR2034335.146905-2/2	0.0	0.0
SRR2034335.160694-1/2	2.0	0.0
SRR2034335.160694-2/2	0.0	0.0
SRR2034335.160753-1/2	0.0	0.0
SRR2034335.160753-2/2	0.0	0.0
SRR2034335.163234-1/2	0.0	0.0
SRR2034335.163234-2/2	0.0	0.0
SRR2034335.163836-1/2	0.0	0.0
SRR2034335.163836-2/2	0.0	0.0
SRR2034335.16888-1/2	-1.0	1.0
SRR2034335.16888-2/2	-1.0	0.0
SRR2034335.169927-1/2	0.0	0.0
SRR2034335.169927-2/2	2.0	0.0
SRR2034335.171348-1/2	0.0	0.0
SRR2034335.171348-2/2	1.0	0.0
SRR2034335.173037-1/2	0.0	0.0
SRR2034335.173037-2/2	0.0	0.0
SRR2034335.177680-1/2	1.0	1.0
SRR2034335.177680-2/2	0.0	0.0
SRR2034335.180240-1/2	0.0	0.0
SRR2034335.180240-2/2	1.0	0.0
SRR2034335.185509-1/2	2.0	0.0
SRR2034335.185509-2/2	0.0	0.0
SRR2034335.188067-1/2	1.0	0.0
SRR2034335.188067-2/2	0.0	0.0
SRR2034335.188583-1/2	0.0	0.0
SRR2034335.188583-2/2	1.0	0.0
SRR2034335.192066-1/2	1.0	0.0
SRR2034335.192066-2/2	0.0	0.0
SRR2034335.196192-1/2	1.0	0.0
SRR2034335.196192-2/2	0.0	0.0
SRR2034335.20346-1/2	0.0	0.0
SRR2034335.20346-2/2	0.0	0.0
SRR2034335.207019-1/2	0.0	2.0
SRR2034335.207019-2/2	0.0	0.0
SRR2034335.207537-1/2	0.0	0.0
SRR2034335.207537-2/2	2.0	0.0
SRR2034335.210091-1/2	2.0	0.0
SRR2034335.210091-2/2	0.0	0.0
SRR2034335.211194-1/2	2.0	0.0
SRR2034335.211194-2/2	2.0	0.0
SRR2034335.213127-1/2	0.0	0.0
SRR2034335.213127-2/2	2.0	0.0
SRR2034335.230705-1/2	0.0	0.0
SRR2034335.230705-2/2	0.0	0.0
SRR2034335.239101-1/2	0.0	0.0
SRR2034335.239101-2/2	0.0	0.0
SRR2034335.241007-1/2	0.0	0.0
SRR2034335.241007-2/2	0.0	0.0
SRR2034335.244203-1/2	0.0	0.0
SRR2034335.244203-2/2	0.0	0.0
SRR2034335.25197-1/2	0.0	0.0
