	clpA_4	clpA_6
SRR2034335.102006-1/2	2.0	0.0
SRR2034335.102006-2/2	0.0	0.0
SRR2034335.107321-1/2	0.0	0.0
SRR2034335.107321-2/2	1.0	0.0
SRR2034335.113811-1/2	1.0	1.0
SRR2034335.113811-2/2	1.0	0.0
SRR2034335.118296-1/2	0.0	0.0
SRR2034335.118296-2/2	0.0	0.0
SRR2034335.122560-1/2	0.0	0.0
SRR2034335.122560-2/2	0.0	0.0
SRR2034335.123401-1/2	0.0	0.0
SRR2034335.123401-2/2	1.0	0.0
SRR2034335.128449-1/2	1.0	1.0
SRR2034335.128449-2/2	0.0	0.0
SRR2034335.129246-1/2	0.0	0.0
SRR2034335.129246-2/2	0.0	0.0
SRR2034335.129759-1/2	1.0	0.0
SRR2034335.129759-2/2	1.0	0.0
SRR2034335.129861-1/2	0.0	0.0
SRR2034335.129861-2/2	1.0	0.0
SRR2034335.131304-1/2	1.0	0.0
SRR2034335.131304-2/2	0.0	0.0
SRR2034335.135504-1/2	0.0	0.0
SRR2034335.135504-2/2	0.0	0.0
SRR2034335.137013-1/2	0.0	0.0
SRR2034335.137013-2/2	2.0	0.0
SRR2034335.139957-1/2	0.0	0.0
SRR2034335.139957-2/2	0.0	0.0
SRR2034335.141941-1/2	0.0	0.0
SRR2034335.141941-2/2	1.0	0.0
SRR2034335.142747-1/2	0.0	0.0
SRR2034335.142747-2/2	0.0	0.0
SRR2034335.149704-1/2	0.0	0.0
SRR2034335.149704-2/2	2.0	0.0
SRR2034335.150376-1/2	0.0	0.0
SRR2034335.150376-2/2	1.0	1.0
SRR2034335.156056-1/2	0.0	0.0
SRR2034335.156056-2/2	1.0	0.0
SRR2034335.159221-1/2	0.0	0.0
SRR2034335.159221-2/2	0.0	0.0
SRR2034335.162360-1/2	0.0	0.0
SRR2034335.162360-2/2	1.0	0.0
SRR2034335.165276-1/2	1.0	0.0
SRR2034335.165276-2/2	0.0	0.0
SRR2034335.168621-1/2	0.0	0.0
SRR2034335.168621-2/2	0.0	0.0
SRR2034335.169181-1/2	0.0	0.0
SRR2034335.169181-2/2	1.0	0.0
SRR2034335.177385-1/2	1.0	0.0
SRR2034335.177385-2/2	1.0	0.0
SRR2034335.184480-1/2	0.0	0.0
SRR2034335.184480-2/2	1.0	0.0
SRR2034335.185320-1/2	0.0	0.0
SRR2034335.185320-2/2	0.0	0.0
SRR2034335.193990-1/2	1.0	0.0
SRR2034335.193990-2/2	0.0	0.0
SRR2034335.194197-1/2	0.0	0.0
SRR2034335.194197-2/2	1.0	0.0
SRR2034335.195053-1/2	2.0	0.0
SRR2034335.195053-2/2	1.0	0.0
SRR2034335.196250-1/2	2.0	0.0
SRR2034335.196250-2/2	1.0	0.0
SRR2034335.200370-1/2	0.0	0.0
SRR2034335.200370-2/2	1.0	0.0
SRR2034335.20147-1/2	0.0	0.0
SRR2034335.20147-2/2	2.0	0.0
SRR2034335.205528-1/2	0.0	0.0
SRR2034335.205528-2/2	0.0	0.0
SRR2034335.211730-1/2	0.0	1.0
SRR2034335.211730-2/2	0.0	1.0
SRR2034335.212701-1/2	1.0	0.0
SRR2034335.212701-2/2	0.0	0.0
SRR2034335.213223-1/2	0.0	0.0
SRR2034335.213223-2/2	1.0	0.0
SRR2034335.217122-1/2	0.0	0.0
SRR2034335.217122-2/2	0.0	0.0
SRR2034335.219449-1/2	0.0	0.0
SRR2034335.219449-2/2	0.0	0.0
SRR2034335.221184-1/2	0.0	0.0
SRR2034335.221184-2/2	2.0	0.0
SRR2034335.221385-1/2	0.0	0.0
SRR2034335.221385-2/2	1.0	0.0
SRR2034335.222462-1/2	0.0	0.0
SRR2034335.222462-2/2	1.0	0.0
SRR2034335.224189-1/2	0.0	0.0
SRR2034335.224189-2/2	0.0	0.0
SRR2034335.225699-1/2	0.0	0.0
SRR2034335.225699-2/2	0.0	0.0
SRR2034335.226876-1/2	0.0	0.0
SRR2034335.226876-2/2	1.0	0.0
SRR2034335.231273-1/2	0.0	0.0
SRR2034335.231273-2/2	0.0	0.0
SRR2034335.234856-1/2	0.0	0.0
SRR2034335.234856-2/2	0.0	0.0
SRR2034335.236914-1/2	0.0	0.0
SRR2034335.236914-2/2	0.0	1.0
SRR2034335.237081-1/2	0.0	0.0
SRR2034335.237081-2/2	1.0	0.0
SRR2034335.238412-1/2	1.0	0.0
SRR2034335.238412-2/2	0.0	0.0
SRR2034335.249739-1/2	2.0	0.0
SRR2034335.249739-2/2	0.0	0.0
SRR2034335.266227-1/2	0.0	0.0
SRR2034335.266227-2/2	1.0	0.0
SRR2034335.268269-1/2	0.0	0.0
SRR2034335.268269-2/2	0.0	0.0
SRR2034335.272188-1/2	0.0	0.0
SRR2034335.272188-2/2	0.0	0.0
SRR2034335.278714-1/2	0.0	0.0
SRR2034335.278714-2/2	1.0	0.0
SRR2034335.279355-1/2	0.0	0.0
SRR2034335.279355-2/2	0.0	0.0
SRR2034335.280088-1/2	0.0	0.0
SRR2034335.280088-2/2	2.0	1.0
SRR2034335.284694-1/2	0.0	0.0
SRR2034335.284694-2/2	1.0	0.0
SRR2034335.294087-1/2	2.0	0.0
SRR2034335.294087-2/2	0.0	0.0
SRR2034335.298432-1/2	2.0	0.0
SRR2034335.298432-2/2	1.0	0.0
SRR2034335.298670-1/2	0.0	0.0
SRR2034335.298670-2/2	0.0	0.0
SRR2034335.301031-1/2	0.0	0.0
SRR2034335.301031-2/2	1.0	0.0
SRR2034335.302300-1/2	1.0	0.0
SRR2034335.302300-2/2	0.0	0.0
SRR2034335.304841-1/2	0.0	0.0
SRR2034335.304841-2/2	1.0	0.0
SRR2034335.306734-1/2	0.0	2.0
SRR2034335.306734-2/2	0.0	0.0
SRR2034335.308626-1/2	1.0	0.0
SRR2034335.308626-2/2	0.0	0.0
SRR2034335.308938-1/2	0.0	0.0
SRR2034335.308938-2/2	0.0	0.0
SRR2034335.312591-1/2	1.0	0.0
SRR2034335.312591-2/2	1.0	0.0
SRR2034335.31545-1/2	0.0	0.0
SRR2034335.31545-2/2	1.0	0.0
SRR2034335.315918-1/2	0.0	0.0
SRR2034335.315918-2/2	0.0	0.0
SRR2034335.31765-1/2	0.0	0.0
SRR2034335.31765-2/2	2.0	0.0
SRR2034335.318111-1/2	0.0	0.0
SRR2034335.318111-2/2	2.0	1.0
SRR2034335.318412-1/2	2.0	0.0
SRR2034335.318412-2/2	0.0	0.0
SRR2034335.323300-1/2	1.0	0.0
SRR2034335.323300-2/2	1.0	1.0
SRR2034335.324913-1/2	2.0	0.0
SRR2034335.324913-2/2	0.0	0.0
SRR2034335.325908-1/2	2.0	0.0
SRR2034335.325908-2/2	1.0	0.0
SRR2034335.326987-1/2	0.0	0.0
SRR2034335.326987-2/2	0.0	0.0
SRR2034335.332220-1/2	0.0	0.0
SRR2034335.332220-2/2	0.0	1.0
SRR2034335.335815-1/2	0.0	0.0
SRR2034335.335815-2/2	1.0	0.0
SRR2034335.337305-1/2	1.0	0.0
SRR2034335.337305-2/2	1.0	0.0
SRR2034335.343024-1/2	0.0	0.0
SRR2034335.343024-2/2	0.0	0.0
SRR2034335.345796-1/2	0.0	0.0
SRR2034335.345796-2/2	1.0	0.0
SRR2034335.347862-1/2	0.0	0.0
SRR2034335.347862-2/2	0.0	0.0
SRR2034335.348841-1/2	0.0	2.0
SRR2034335.348841-2/2	0.0	0.0
SRR2034335.351416-1/2	0.0	0.0
SRR2034335.351416-2/2	0.0	0.0
SRR2034335.362121-1/2	0.0	0.0
SRR2034335.362121-2/2	1.0	0.0
SRR2034335.362478-1/2	0.0	0.0
SRR2034335.362478-2/2	0.0	0.0
SRR2034335.365521-1/2	0.0	0.0
SRR2034335.365521-2/2	0.0	0.0
SRR2034335.370266-1/2	0.0	2.0
SRR2034335.370266-2/2	0.0	1.0
SRR2034335.371438-1/2	0.0	0.0
SRR2034335.371438-2/2	1.0	0.0
SRR2034335.37523-1/2	1.0	0.0
SRR2034335.37523-2/2	1.0	0.0
SRR2034335.375950-1/2	0.0	0.0
SRR2034335.375950-2/2	2.0	0.0
SRR2034335.378020-1/2	0.0	0.0
SRR2034335.378020-2/2	0.0	0.0
SRR2034335.383569-1/2	0.0	0.0
SRR2034335.383569-2/2	2.0	0.0
SRR2034335.383885-1/2	1.0	0.0
SRR2034335.383885-2/2	0.0	0.0
SRR2034335.40949-1/2	0.0	0.0
SRR2034335.40949-2/2	1.0	0.0
SRR2034335.412499-1/2	1.0	0.0
SRR2034335.412499-2/2	1.0	0.0
SRR2034335.414893-1/2	0.0	0.0
SRR2034335.414893-2/2	1.0	0.0
SRR2034335.421061-1/2	0.0	0.0
SRR2034335.421061-2/2	0.0	0.0
SRR2034335.421211-1/2	1.0	0.0
SRR2034335.421211-2/2	2.0	0.0
SRR2034335.422645-1/2	1.0	0.0
SRR2034335.422645-2/2	0.0	0.0
SRR2034335.424631-1/2	1.0	0.0
SRR2034335.424631-2/2	1.0	0.0
SRR2034335.426392-1/2	2.0	0.0
SRR2034335.426392-2/2	0.0	0.0
SRR2034335.432766-1/2	0.0	0.0
SRR2034335.432766-2/2	0.0	0.0
SRR2034335.434458-1/2	0.0	0.0
SRR2034335.434458-2/2	0.0	0.0
SRR2034335.435747-1/2	1.0	0.0
SRR2034335.435747-2/2	1.0	0.0
SRR2034335.440448-1/2	1.0	0.0
SRR2034335.440448-2/2	0.0	0.0
SRR2034335.443901-1/2	0.0	0.0
SRR2034335.443901-2/2	0.0	0.0
SRR2034335.448654-1/2	0.0	0.0
SRR2034335.448654-2/2	0.0	0.0
SRR2034335.458343-1/2	0.0	0.0
SRR2034335.458343-2/2	0.0	0.0
SRR2034335.458344-1/2	2.0	-1.0
SRR2034335.458344-2/2	0.0	-1.0
SRR2034335.461184-1/2	0.0	0.0
SRR2034335.461184-2/2	0.0	0.0
SRR2034335.46150-1/2	0.0	0.0
SRR2034335.46150-2/2	0.0	0.0
SRR2034335.465519-1/2	0.0	0.0
SRR2034335.465519-2/2	0.0	0.0
SRR2034335.465786-1/2	1.0	0.0
SRR2034335.465786-2/2	1.0	0.0
SRR2034335.466263-1/2	0.0	0.0
SRR2034335.466263-2/2	2.0	0.0
SRR2034335.467553-1/2	1.0	0.0
SRR2034335.467553-2/2	1.0	0.0
SRR2034335.467706-1/2	-1.0	2.0
SRR2034335.467706-2/2	-1.0	0.0
SRR2034335.468137-1/2	2.0	0.0
SRR2034335.468137-2/2	0.0	0.0
SRR2034335.470851-1/2	0.0	0.0
SRR2034335.470851-2/2	1.0	0.0
SRR2034335.477788-1/2	0.0	1.0
SRR2034335.477788-2/2	0.0	1.0
SRR2034335.483021-1/2	0.0	0.0
SRR2034335.483021-2/2	0.0	1.0
SRR2034335.483764-1/2	0.0	0.0
SRR2034335.483764-2/2	0.0	0.0
SRR2034335.484343-1/2	0.0	0.0
