	clpX_1
SRR2034333.100465-1/2	0.0
SRR2034333.100465-2/2	0.0
SRR2034333.111479-1/2	0.0
SRR2034333.111479-2/2	0.0
SRR2034333.111857-1/2	0.0
SRR2034333.111857-2/2	0.0
SRR2034333.112045-1/2	0.0
SRR2034333.112045-2/2	0.0
SRR2034333.113914-1/2	0.0
SRR2034333.113914-2/2	0.0
SRR2034333.115780-1/2	0.0
SRR2034333.115780-2/2	0.0
SRR2034333.118082-1/2	0.0
SRR2034333.118082-2/2	0.0
SRR2034333.122891-1/2	1.0
SRR2034333.122891-2/2	0.0
SRR2034333.12446-1/2	0.0
SRR2034333.12446-2/2	0.0
SRR2034333.137293-1/2	0.0
SRR2034333.137293-2/2	0.0
SRR2034333.138836-1/2	0.0
SRR2034333.138836-2/2	0.0
SRR2034333.139461-1/2	0.0
SRR2034333.139461-2/2	0.0
SRR2034333.14217-1/2	0.0
SRR2034333.14217-2/2	0.0
SRR2034333.142688-1/2	0.0
SRR2034333.142688-2/2	0.0
SRR2034333.146326-1/2	0.0
SRR2034333.146326-2/2	0.0
SRR2034333.146357-1/2	0.0
SRR2034333.146357-2/2	0.0
SRR2034333.154262-1/2	0.0
SRR2034333.154262-2/2	0.0
SRR2034333.15736-1/2	1.0
SRR2034333.15736-2/2	1.0
SRR2034333.16190-1/2	0.0
SRR2034333.16190-2/2	0.0
SRR2034333.162918-1/2	0.0
SRR2034333.162918-2/2	0.0
SRR2034333.167953-1/2	0.0
SRR2034333.167953-2/2	0.0
SRR2034333.174685-1/2	0.0
SRR2034333.174685-2/2	0.0
SRR2034333.183059-1/2	0.0
SRR2034333.183059-2/2	0.0
SRR2034333.183513-1/2	0.0
SRR2034333.183513-2/2	0.0
SRR2034333.184703-1/2	0.0
SRR2034333.184703-2/2	0.0
SRR2034333.190521-1/2	0.0
SRR2034333.190521-2/2	0.0
SRR2034333.190971-1/2	0.0
SRR2034333.190971-2/2	0.0
SRR2034333.191827-1/2	1.0
SRR2034333.191827-2/2	2.0
SRR2034333.194559-1/2	0.0
SRR2034333.194559-2/2	0.0
SRR2034333.197279-1/2	0.0
SRR2034333.197279-2/2	0.0
SRR2034333.200149-1/2	0.0
SRR2034333.200149-2/2	0.0
SRR2034333.202734-1/2	0.0
SRR2034333.202734-2/2	0.0
SRR2034333.20637-1/2	0.0
SRR2034333.20637-2/2	0.0
SRR2034333.208817-1/2	0.0
SRR2034333.208817-2/2	0.0
SRR2034333.21796-1/2	0.0
SRR2034333.21796-2/2	0.0
SRR2034333.218123-1/2	0.0
SRR2034333.218123-2/2	0.0
SRR2034333.222181-1/2	0.0
SRR2034333.222181-2/2	0.0
SRR2034333.222610-1/2	1.0
SRR2034333.222610-2/2	1.0
SRR2034333.223303-1/2	0.0
SRR2034333.223303-2/2	0.0
SRR2034333.224826-1/2	0.0
SRR2034333.224826-2/2	0.0
SRR2034333.23094-1/2	0.0
SRR2034333.23094-2/2	0.0
SRR2034333.234539-1/2	0.0
SRR2034333.234539-2/2	0.0
SRR2034333.239846-1/2	0.0
SRR2034333.239846-2/2	0.0
SRR2034333.242854-1/2	0.0
SRR2034333.242854-2/2	0.0
SRR2034333.24925-1/2	0.0
SRR2034333.24925-2/2	1.0
SRR2034333.25272-1/2	0.0
SRR2034333.25272-2/2	0.0
SRR2034333.260697-1/2	0.0
SRR2034333.260697-2/2	0.0
SRR2034333.263887-1/2	0.0
SRR2034333.263887-2/2	0.0
SRR2034333.26453-1/2	0.0
SRR2034333.26453-2/2	0.0
SRR2034333.27594-1/2	1.0
SRR2034333.27594-2/2	0.0
SRR2034333.27916-1/2	0.0
SRR2034333.27916-2/2	0.0
SRR2034333.31060-1/2	2.0
SRR2034333.31060-2/2	0.0
SRR2034333.35837-1/2	0.0
SRR2034333.35837-2/2	0.0
SRR2034333.39929-1/2	1.0
SRR2034333.39929-2/2	0.0
SRR2034333.48794-1/2	0.0
SRR2034333.48794-2/2	0.0
SRR2034333.50061-1/2	0.0
SRR2034333.50061-2/2	0.0
SRR2034333.52606-1/2	0.0
SRR2034333.52606-2/2	0.0
SRR2034333.53093-1/2	0.0
SRR2034333.53093-2/2	0.0
SRR2034333.57352-1/2	0.0
SRR2034333.57352-2/2	0.0
SRR2034333.59420-1/2	0.0
SRR2034333.59420-2/2	0.0
SRR2034333.68304-1/2	0.0
SRR2034333.68304-2/2	0.0
SRR2034333.72824-1/2	0.0
SRR2034333.72824-2/2	0.0
SRR2034333.73045-1/2	0.0
SRR2034333.73045-2/2	0.0
SRR2034333.80196-1/2	0.0
SRR2034333.80196-2/2	0.0
SRR2034333.84371-1/2	1.0
SRR2034333.84371-2/2	0.0
SRR2034333.91791-1/2	0.0
SRR2034333.91791-2/2	0.0
SRR2034333.96509-1/2	0.0
SRR2034333.96509-2/2	0.0
