	recG_6
SRR2034333.100887-1/2	0.0
SRR2034333.100887-2/2	0.0
SRR2034333.102076-1/2	0.0
SRR2034333.102076-2/2	0.0
SRR2034333.109997-1/2	0.0
SRR2034333.109997-2/2	0.0
SRR2034333.110486-1/2	0.0
SRR2034333.110486-2/2	0.0
SRR2034333.11358-1/2	0.0
SRR2034333.11358-2/2	0.0
SRR2034333.117362-1/2	0.0
SRR2034333.117362-2/2	0.0
SRR2034333.118724-1/2	0.0
SRR2034333.118724-2/2	0.0
SRR2034333.118756-1/2	0.0
SRR2034333.118756-2/2	0.0
SRR2034333.127666-1/2	0.0
SRR2034333.127666-2/2	0.0
SRR2034333.13801-1/2	0.0
SRR2034333.13801-2/2	0.0
SRR2034333.152054-1/2	0.0
SRR2034333.152054-2/2	0.0
SRR2034333.153721-1/2	0.0
SRR2034333.153721-2/2	0.0
SRR2034333.161204-1/2	1.0
SRR2034333.161204-2/2	0.0
SRR2034333.164876-1/2	0.0
SRR2034333.164876-2/2	0.0
SRR2034333.16982-1/2	0.0
SRR2034333.16982-2/2	0.0
SRR2034333.175966-1/2	0.0
SRR2034333.175966-2/2	0.0
SRR2034333.189043-1/2	0.0
SRR2034333.189043-2/2	0.0
SRR2034333.195809-1/2	0.0
SRR2034333.195809-2/2	0.0
SRR2034333.20038-1/2	0.0
SRR2034333.20038-2/2	0.0
SRR2034333.20809-1/2	0.0
SRR2034333.20809-2/2	0.0
SRR2034333.215093-1/2	0.0
SRR2034333.215093-2/2	0.0
SRR2034333.23193-1/2	0.0
SRR2034333.23193-2/2	0.0
SRR2034333.236286-1/2	0.0
SRR2034333.236286-2/2	0.0
SRR2034333.248567-1/2	0.0
SRR2034333.248567-2/2	0.0
SRR2034333.249365-1/2	0.0
SRR2034333.249365-2/2	0.0
SRR2034333.252189-1/2	0.0
SRR2034333.252189-2/2	0.0
SRR2034333.254728-1/2	0.0
SRR2034333.254728-2/2	0.0
SRR2034333.261548-1/2	0.0
SRR2034333.261548-2/2	0.0
SRR2034333.261814-1/2	0.0
SRR2034333.261814-2/2	0.0
SRR2034333.268659-1/2	0.0
SRR2034333.268659-2/2	0.0
SRR2034333.270153-1/2	0.0
SRR2034333.270153-2/2	0.0
SRR2034333.3375-1/2	0.0
SRR2034333.3375-2/2	0.0
SRR2034333.42015-1/2	0.0
SRR2034333.42015-2/2	0.0
SRR2034333.45574-1/2	0.0
SRR2034333.45574-2/2	0.0
SRR2034333.52154-1/2	0.0
SRR2034333.52154-2/2	0.0
SRR2034333.57131-1/2	0.0
SRR2034333.57131-2/2	0.0
SRR2034333.6987-1/2	0.0
SRR2034333.6987-2/2	0.0
SRR2034333.75888-1/2	0.0
SRR2034333.75888-2/2	0.0
SRR2034333.76978-1/2	0.0
SRR2034333.76978-2/2	0.0
SRR2034333.78156-1/2	0.0
SRR2034333.78156-2/2	0.0
SRR2034333.80971-1/2	0.0
SRR2034333.80971-2/2	0.0
SRR2034333.81867-1/2	0.0
SRR2034333.81867-2/2	0.0
SRR2034333.822-1/2	0.0
SRR2034333.822-2/2	0.0
SRR2034333.89122-1/2	0.0
SRR2034333.89122-2/2	0.0
SRR2034333.98310-1/2	0.0
SRR2034333.98310-2/2	0.0
SRR2034333.99397-1/2	0.0
SRR2034333.99397-2/2	1.0
