	clpA_4
SRR2034333.100312-1/2	0.0
SRR2034333.100312-2/2	0.0
SRR2034333.12080-1/2	0.0
SRR2034333.12080-2/2	0.0
SRR2034333.150489-1/2	0.0
SRR2034333.150489-2/2	0.0
SRR2034333.172238-1/2	0.0
SRR2034333.172238-2/2	0.0
SRR2034333.193966-1/2	0.0
SRR2034333.193966-2/2	0.0
SRR2034333.208557-1/2	0.0
SRR2034333.208557-2/2	0.0
SRR2034333.216723-1/2	0.0
SRR2034333.216723-2/2	0.0
SRR2034333.220125-1/2	0.0
SRR2034333.220125-2/2	0.0
SRR2034333.221410-1/2	0.0
SRR2034333.221410-2/2	0.0
SRR2034333.223373-1/2	0.0
SRR2034333.223373-2/2	0.0
SRR2034333.226716-1/2	0.0
SRR2034333.226716-2/2	0.0
SRR2034333.245255-1/2	2.0
SRR2034333.245255-2/2	0.0
SRR2034333.247989-1/2	0.0
SRR2034333.247989-2/2	0.0
SRR2034333.249587-1/2	0.0
SRR2034333.249587-2/2	0.0
SRR2034333.259504-1/2	0.0
SRR2034333.259504-2/2	0.0
SRR2034333.265738-1/2	0.0
SRR2034333.265738-2/2	0.0
SRR2034333.271078-1/2	0.0
SRR2034333.271078-2/2	0.0
SRR2034333.31978-1/2	0.0
SRR2034333.31978-2/2	1.0
SRR2034333.47317-1/2	0.0
SRR2034333.47317-2/2	0.0
SRR2034333.55063-1/2	0.0
SRR2034333.55063-2/2	0.0
SRR2034333.58943-1/2	0.0
SRR2034333.58943-2/2	0.0
SRR2034333.64093-1/2	0.0
SRR2034333.64093-2/2	0.0
SRR2034333.67368-1/2	0.0
SRR2034333.67368-2/2	0.0
SRR2034333.72861-1/2	0.0
SRR2034333.72861-2/2	0.0
SRR2034333.75412-1/2	0.0
SRR2034333.75412-2/2	0.0
SRR2034333.83401-1/2	0.0
SRR2034333.83401-2/2	0.0
SRR2034333.85749-1/2	0.0
SRR2034333.85749-2/2	0.0
SRR2034333.88586-1/2	0.0
SRR2034333.88586-2/2	0.0
