level_0,clpA_1,clpA_10,clpA_100,clpA_101,clpA_102,clpA_103,clpA_104,clpA_105,clpA_106,clpA_107,clpA_108,clpA_109,clpA_11,clpA_110,clpA_111,clpA_112,clpA_113,clpA_114,clpA_115,clpA_116,clpA_117,clpA_118,clpA_119,clpA_12,clpA_120,clpA_121,clpA_122,clpA_123,clpA_124,clpA_125,clpA_126,clpA_127,clpA_128,clpA_129,clpA_13,clpA_130,clpA_131,clpA_132,clpA_133,clpA_134,clpA_135,clpA_136,clpA_137,clpA_138,clpA_139,clpA_14,clpA_140,clpA_141,clpA_142,clpA_143,clpA_144,clpA_145,clpA_146,clpA_147,clpA_148,clpA_149,clpA_15,clpA_150,clpA_151,clpA_152,clpA_153,clpA_154,clpA_155,clpA_156,clpA_157,clpA_158,clpA_159,clpA_16,clpA_160,clpA_161,clpA_162,clpA_163,clpA_164,clpA_165,clpA_166,clpA_167,clpA_168,clpA_169,clpA_17,clpA_170,clpA_171,clpA_172,clpA_173,clpA_174,clpA_175,clpA_176,clpA_177,clpA_178,clpA_179,clpA_18,clpA_180,clpA_181,clpA_182,clpA_183,clpA_184,clpA_185,clpA_186,clpA_187,clpA_188,clpA_189,clpA_19,clpA_190,clpA_191,clpA_192,clpA_193,clpA_194,clpA_195,clpA_196,clpA_197,clpA_198,clpA_199,clpA_2,clpA_20,clpA_200,clpA_201,clpA_202,clpA_203,clpA_204,clpA_205,clpA_206,clpA_207,clpA_208,clpA_209,clpA_21,clpA_210,clpA_211,clpA_212,clpA_213,clpA_214,clpA_215,clpA_216,clpA_217,clpA_218,clpA_219,clpA_22,clpA_220,clpA_221,clpA_222,clpA_223,clpA_224,clpA_225,clpA_226,clpA_227,clpA_228,clpA_229,clpA_23,clpA_230,clpA_231,clpA_232,clpA_233,clpA_234,clpA_235,clpA_236,clpA_237,clpA_238,clpA_239,clpA_24,clpA_240,clpA_241,clpA_242,clpA_243,clpA_244,clpA_245,clpA_246,clpA_247,clpA_248,clpA_249,clpA_25,clpA_250,clpA_26,clpA_27,clpA_28,clpA_29,clpA_3,clpA_30,clpA_31,clpA_32,clpA_33,clpA_34,clpA_35,clpA_36,clpA_37,clpA_38,clpA_39,clpA_4,clpA_40,clpA_41,clpA_42,clpA_43,clpA_44,clpA_45,clpA_46,clpA_47,clpA_48,clpA_49,clpA_5,clpA_50,clpA_51,clpA_52,clpA_53,clpA_54,clpA_55,clpA_56,clpA_57,clpA_58,clpA_59,clpA_6,clpA_60,clpA_61,clpA_62,clpA_63,clpA_64,clpA_65,clpA_66,clpA_67,clpA_68,clpA_69,clpA_7,clpA_70,clpA_71,clpA_72,clpA_73,clpA_74,clpA_75,clpA_76,clpA_77,clpA_78,clpA_79,clpA_8,clpA_80,clpA_81,clpA_82,clpA_83,clpA_84,clpA_85,clpA_86,clpA_87,clpA_88,clpA_89,clpA_9,clpA_90,clpA_91,clpA_92,clpA_93,clpA_94,clpA_95,clpA_96,clpA_97,clpA_98,clpA_99
clpA_1,0,5,53,53,53,62,6,7,8,8,62,50,5,51,52,61,50,51,52,60,43,45,42,6,42,45,42,46,46,44,47,44,8,62,14,63,49,15,52,51,50,54,8,61,61,2,65,61,63,66,60,60,61,62,60,68,7,59,49,62,66,66,6,7,9,9,13,3,12,13,53,52,55,63,60,61,59,54,13,81,61,51,59,38,35,38,39,56,52,6,59,54,9,50,70,60,62,61,54,54,3,51,60,61,61,62,62,63,59,52,192,7,5,187,186,183,184,184,52,52,62,59,64,2,63,60,176,189,183,181,188,3,47,189,6,190,192,188,62,67,61,60,59,60,53,8,32,32,35,31,31,31,30,32,34,61,6,186,51,65,50,7,62,178,184,50,52,6,181,49,51,48,50,7,48,54,47,54,55,50,51,52,52,52,4,63,61,60,62,61,58,61,61,61,51,4,50,51,52,52,51,51,61,62,63,60,1,61,186,61,52,65,64,62,60,183,60,8,62,184,60,63,50,58,55,55,55,52,7,54,56,54,57,58,59,60,60,65,53,8,65,44,44,44,68,61,50,50,52,59
clpA_10,5,0,51,51,53,61,5,4,6,5,61,51,4,49,53,60,51,52,53,59,42,44,41,7,41,44,41,45,47,45,48,45,5,63,13,62,50,14,50,52,51,52,5,60,60,5,64,60,62,65,59,59,60,61,59,67,6,58,46,61,65,65,3,6,6,6,14,6,13,12,54,53,54,62,59,60,60,53,12,80,60,52,58,39,31,35,38,55,51,5,60,53,6,51,68,59,61,60,52,52,6,52,59,60,60,61,61,62,58,53,192,8,2,187,186,179,180,180,53,53,61,58,63,3,62,59,175,185,183,177,184,6,48,187,3,188,190,188,61,66,60,59,58,59,53,5,29,29,32,28,28,28,27,29,31,60,3,185,52,64,51,4,61,174,184,49,53,3,179,48,50,47,49,4,47,52,46,52,53,51,52,52,53,53,5,62,60,59,61,60,57,60,60,60,49,1,48,52,53,53,52,52,60,61,62,59,4,60,182,60,53,64,62,61,59,181,59,7,61,184,59,62,48,56,53,53,53,50,4,52,54,52,55,56,58,59,59,64,51,5,64,43,42,43,69,60,48,51,53,58
clpA_100,53,51,0,53,62,64,52,53,50,52,63,59,53,18,61,65,61,60,61,67,61,62,60,54,59,62,59,63,72,70,71,70,50,70,51,69,58,52,52,59,61,54,50,65,65,54,68,67,69,70,64,63,63,66,66,70,53,65,63,70,71,71,50,53,53,52,55,55,54,50,62,61,54,69,66,65,63,55,50,87,65,61,63,53,56,55,60,55,42,54,58,61,51,59,70,62,69,67,54,54,55,61,64,65,68,66,66,66,65,61,193,53,49,189,186,177,178,178,61,59,62,65,70,52,69,62,175,185,186,181,182,55,62,190,50,190,191,190,69,73,63,64,65,66,62,50,51,53,56,50,48,50,51,49,54,67,52,184,61,69,60,53,66,177,188,51,61,50,177,51,53,51,52,49,52,52,50,52,54,60,60,61,61,61,50,65,67,66,66,66,64,65,65,68,18,50,17,61,61,62,61,61,65,66,67,64,53,65,182,65,62,69,66,64,64,181,66,54,67,187,62,67,51,10,5,19,7,6,49,11,4,4,9,10,65,66,67,69,9,50,70,61,63,61,65,65,19,60,61,65
clpA_101,53,51,53,0,48,51,53,54,52,53,50,48,54,49,50,48,50,48,50,48,58,59,57,53,56,57,56,60,60,58,59,58,51,53,51,52,48,52,1,50,49,1,51,50,48,53,53,50,52,53,51,51,52,51,48,56,56,48,58,65,53,53,51,56,54,52,56,54,57,50,50,52,48,53,46,48,52,49,50,72,50,50,50,49,46,52,56,49,49,55,58,50,52,47,61,50,50,48,1,1,54,49,47,48,51,49,49,52,50,50,189,52,50,186,181,177,178,178,50,50,53,47,53,51,53,47,171,180,184,178,179,52,52,187,51,186,187,186,50,55,51,47,48,49,49,51,47,49,52,47,48,48,46,48,49,48,53,181,50,52,50,54,49,170,184,12,48,51,174,10,10,10,11,50,9,1,11,1,2,49,49,48,50,50,49,50,49,47,49,50,47,48,48,49,48,51,48,49,50,51,50,50,52,53,52,51,52,50,177,50,51,52,49,49,47,174,51,57,50,184,51,52,4,55,54,46,54,52,50,50,53,53,56,55,49,48,48,54,51,51,52,58,55,59,52,50,48,49,50,46
clpA_102,53,53,62,48,0,51,55,56,54,55,50,3,56,60,3,48,3,3,5,48,58,58,57,53,56,58,55,59,58,56,57,56,52,49,56,50,4,57,48,3,4,49,52,50,48,53,51,50,50,53,50,48,51,50,47,54,58,46,57,62,53,53,52,56,55,56,58,54,59,55,7,7,47,48,47,52,53,48,55,79,50,3,50,48,52,57,56,48,53,57,55,5,53,4,67,48,50,48,49,49,54,5,49,48,49,50,49,51,51,3,192,52,52,188,182,182,183,183,3,3,52,46,51,51,52,49,176,187,187,184,185,54,54,193,53,192,192,189,49,54,49,45,46,49,2,52,51,49,52,50,50,50,49,51,54,48,55,189,7,50,6,56,47,181,191,45,3,53,179,45,46,46,46,51,45,49,46,49,50,4,2,1,3,3,49,48,48,47,49,48,49,48,48,49,60,53,59,4,3,6,5,5,51,52,50,48,52,51,184,51,6,52,47,49,47,183,48,57,51,190,49,53,45,65,63,59,65,61,52,61,64,62,67,68,49,47,49,52,62,53,52,58,57,60,50,52,59,5,3,46
clpA_103,62,61,64,51,51,0,62,61,62,61,9,48,63,60,50,3,50,49,50,11,59,58,58,61,58,58,57,59,55,56,57,56,61,12,62,11,47,63,51,50,50,52,61,5,7,62,16,14,11,12,19,15,18,17,16,19,65,13,66,67,19,19,60,63,62,62,63,63,64,61,48,52,50,13,16,9,16,49,61,78,7,50,20,58,55,58,58,51,60,64,65,50,62,48,61,12,13,5,52,52,63,51,8,3,10,5,4,7,18,50,188,60,59,184,180,183,184,184,50,48,19,15,12,60,9,8,179,182,185,180,181,63,53,189,61,190,186,185,13,19,13,8,9,8,51,61,46,52,55,48,49,49,47,49,48,5,62,186,50,13,49,63,8,175,184,48,50,60,178,48,49,49,49,60,48,52,49,52,53,49,49,50,50,50,59,13,15,4,2,11,8,5,7,12,59,60,59,50,50,49,50,50,18,19,15,15,61,18,179,18,49,11,14,8,6,180,15,64,18,185,15,20,50,66,65,61,65,63,60,61,64,64,67,68,18,14,16,17,62,61,18,60,59,62,62,11,59,49,50,5
clpA_104,6,5,52,53,55,62,0,5,5,8,62,52,1,50,54,61,52,53,54,60,41,43,40,10,40,43,40,44,48,46,49,46,6,64,14,63,51,15,52,53,52,54,6,61,61,6,65,61,63,66,60,60,61,62,60,68,3,59,47,62,66,66,4,3,9,5,11,7,10,13,55,54,55,63,60,61,59,54,13,81,61,53,59,40,33,36,37,56,52,2,59,54,7,52,70,60,62,61,54,54,7,53,60,61,61,62,62,63,59,54,195,11,3,190,189,182,183,183,54,54,62,59,64,6,63,60,177,186,188,180,185,7,49,190,6,191,193,191,62,67,61,60,59,60,55,6,30,30,33,29,29,29,28,30,32,61,4,186,53,65,52,3,62,177,189,50,54,2,182,49,51,48,50,5,48,54,47,54,55,52,53,54,54,54,6,63,61,60,62,61,58,61,61,61,50,4,49,53,54,54,53,53,61,62,63,60,5,61,183,61,54,65,64,62,60,182,60,4,62,189,60,63,50,57,54,54,54,51,5,53,55,53,56,57,59,60,60,65,52,6,65,42,42,42,67,61,49,52,54,59
clpA_105,7,4,53,54,56,61,5,0,8,3,61,53,4,51,55,60,53,54,55,59,42,44,41,5,41,44,41,45,49,47,50,47,7,63,15,62,52,16,53,54,53,55,7,60,60,7,64,60,62,65,59,59,60,61,59,67,6,58,48,63,65,65,5,6,4,6,14,8,13,14,56,55,56,62,59,60,60,55,14,81,60,54,58,41,34,37,38,57,53,5,62,55,8,53,69,59,61,60,55,55,8,54,59,60,60,61,61,62,58,55,192,6,4,187,186,180,181,181,55,55,61,58,63,5,62,59,175,186,184,178,185,8,50,187,5,188,190,188,61,66,60,59,58,59,56,7,31,31,34,30,30,30,29,31,33,60,3,185,54,64,53,4,61,175,185,51,55,3,179,50,52,49,51,6,49,55,48,55,56,53,54,55,55,55,7,62,60,59,61,60,57,60,60,60,51,3,50,54,55,55,54,54,60,61,62,59,6,60,183,60,55,64,63,61,59,181,59,7,61,185,59,62,51,58,55,55,55,52,6,54,56,54,57,58,58,59,59,64,53,7,64,43,43,43,68,60,50,53,55,58
clpA_106,8,6,50,52,54,62,5,8,0,7,62,51,6,48,53,61,51,52,53,60,41,43,40,9,40,43,40,44,48,46,49,46,3,64,13,63,50,14,51,52,51,53,5,61,61,9,65,61,63,66,60,60,61,62,60,68,8,59,46,63,66,66,5,8,8,6,16,10,15,12,54,53,54,63,60,61,61,53,12,81,61,52,59,40,32,35,37,55,52,7,59,53,4,51,70,60,62,61,53,53,10,52,60,61,61,62,62,63,59,53,194,10,4,189,188,180,181,181,53,53,62,59,64,7,63,60,175,184,186,178,183,10,48,189,5,190,192,190,62,67,61,60,59,60,54,5,29,29,32,28,28,28,27,29,31,61,7,184,52,65,51,6,62,175,187,49,53,5,181,48,50,47,49,4,47,53,46,53,54,51,52,53,53,53,5,63,61,60,62,61,58,61,61,61,48,5,47,52,53,53,52,52,61,62,63,60,8,61,181,61,53,65,64,62,60,179,60,9,62,187,60,63,49,55,52,52,52,49,2,51,53,51,54,55,59,60,60,65,50,3,65,42,42,42,67,61,47,51,53,59
clpA_107,8,5,52,53,55,61,8,3,7,0,61,52,7,50,54,60,52,53,54,59,42,44,41,2,41,44,41,45,49,47,50,47,6,63,14,62,51,15,52,53,52,54,6,60,60,8,64,60,62,65,59,59,60,61,59,67,9,58,47,64,65,65,6,9,1,5,17,9,16,13,55,54,55,62,59,60,60,54,13,81,60,53,58,41,33,36,38,56,53,8,61,54,7,52,69,59,61,60,54,54,9,53,59,60,60,61,61,62,58,54,192,3,5,187,186,179,180,180,54,54,61,58,63,6,62,59,175,185,184,178,184,9,49,187,2,188,190,188,61,66,60,59,58,59,55,6,30,30,33,29,29,29,28,30,32,60,6,183,52,64,52,7,61,174,185,50,54,6,179,49,51,48,50,5,48,54,47,54,55,52,53,54,54,54,6,62,60,59,61,60,57,60,60,60,50,4,49,53,54,54,53,53,60,61,62,59,7,60,182,60,54,64,63,61,59,179,59,10,61,185,59,62,50,57,54,54,54,51,5,53,55,53,56,57,58,59,59,64,52,6,64,43,43,43,67,60,49,52,54,58
