level_0,recG_1,recG_10,recG_100,recG_101,recG_102,recG_103,recG_104,recG_105,recG_106,recG_107,recG_108,recG_109,recG_11,recG_110,recG_111,recG_112,recG_113,recG_114,recG_115,recG_116,recG_117,recG_118,recG_119,recG_12,recG_120,recG_121,recG_122,recG_123,recG_124,recG_125,recG_126,recG_127,recG_128,recG_129,recG_13,recG_130,recG_131,recG_132,recG_133,recG_134,recG_135,recG_136,recG_137,recG_138,recG_139,recG_14,recG_140,recG_141,recG_142,recG_143,recG_144,recG_145,recG_146,recG_147,recG_148,recG_149,recG_15,recG_150,recG_151,recG_152,recG_153,recG_154,recG_155,recG_156,recG_157,recG_158,recG_159,recG_16,recG_160,recG_161,recG_162,recG_163,recG_164,recG_165,recG_166,recG_167,recG_168,recG_169,recG_17,recG_170,recG_171,recG_172,recG_173,recG_174,recG_175,recG_176,recG_177,recG_178,recG_179,recG_18,recG_180,recG_181,recG_182,recG_183,recG_184,recG_185,recG_186,recG_187,recG_188,recG_189,recG_19,recG_190,recG_191,recG_192,recG_193,recG_194,recG_195,recG_196,recG_197,recG_198,recG_199,recG_2,recG_20,recG_200,recG_201,recG_202,recG_203,recG_204,recG_205,recG_206,recG_207,recG_208,recG_209,recG_21,recG_210,recG_211,recG_212,recG_213,recG_214,recG_215,recG_216,recG_217,recG_218,recG_219,recG_22,recG_220,recG_221,recG_222,recG_223,recG_224,recG_225,recG_226,recG_227,recG_228,recG_229,recG_23,recG_230,recG_231,recG_232,recG_233,recG_234,recG_235,recG_236,recG_237,recG_238,recG_239,recG_24,recG_240,recG_241,recG_25,recG_26,recG_27,recG_28,recG_29,recG_3,recG_30,recG_31,recG_32,recG_33,recG_34,recG_35,recG_36,recG_37,recG_38,recG_39,recG_4,recG_40,recG_41,recG_42,recG_43,recG_44,recG_45,recG_46,recG_47,recG_48,recG_49,recG_5,recG_50,recG_51,recG_52,recG_53,recG_54,recG_55,recG_56,recG_57,recG_58,recG_59,recG_6,recG_60,recG_61,recG_62,recG_63,recG_64,recG_65,recG_66,recG_67,recG_68,recG_69,recG_7,recG_70,recG_71,recG_72,recG_73,recG_74,recG_75,recG_76,recG_77,recG_78,recG_79,recG_8,recG_80,recG_81,recG_82,recG_83,recG_84,recG_85,recG_86,recG_87,recG_88,recG_89,recG_9,recG_90,recG_91,recG_92,recG_93,recG_94,recG_95,recG_96,recG_97,recG_98,recG_99
recG_1,0,2,53,50,51,52,52,51,50,50,49,51,3,51,56,58,59,6,58,58,57,50,58,1,53,58,55,58,57,57,56,59,56,63,12,57,57,55,57,63,4,1,11,51,51,8,51,60,54,61,55,56,58,52,58,58,4,49,51,50,49,51,52,59,50,49,49,1,50,51,42,56,52,51,50,4,37,50,4,57,49,51,58,57,53,57,56,54,53,2,57,54,56,56,61,50,49,150,154,140,2,151,147,154,157,54,54,53,1,51,63,3,4,57,54,54,51,151,148,138,150,149,39,2,148,151,161,151,62,59,56,56,58,51,49,50,38,39,39,39,39,38,38,34,38,48,147,51,56,50,50,57,142,144,48,49,50,49,156,49,50,50,52,50,3,51,52,51,52,58,60,56,57,58,53,2,58,58,57,55,53,52,57,56,55,56,5,51,59,49,55,55,55,54,55,56,58,3,58,54,54,51,52,55,54,54,56,56,3,58,55,55,53,51,50,57,54,57,54,2,55,52,53,5,58,51,57,58,58,51,12,2,51,49,56,51,51,50,58,50,52
recG_10,2,0,53,50,51,52,52,51,50,50,49,49,1,49,55,57,58,4,57,57,56,51,57,3,52,56,54,57,56,56,55,58,55,62,10,56,56,54,56,62,2,3,9,49,49,6,49,58,53,60,54,55,57,50,57,57,2,47,49,48,47,49,50,58,50,49,49,3,50,51,41,56,50,49,48,4,38,48,2,56,50,49,57,56,51,56,55,53,52,2,56,53,55,55,60,48,50,151,155,141,2,151,147,154,158,54,54,53,3,49,62,5,2,56,53,53,51,152,149,139,152,150,38,2,148,151,162,151,60,58,55,55,57,49,50,48,37,38,38,38,38,37,37,33,37,49,147,49,55,48,48,56,143,145,49,47,51,47,156,50,51,48,50,48,1,49,50,49,50,57,59,55,56,57,52,2,57,57,56,54,52,51,56,55,55,55,3,49,58,47,54,54,54,53,54,55,57,3,57,53,53,50,51,54,53,53,55,55,3,57,54,54,53,51,49,56,53,56,53,4,54,51,52,3,57,52,56,57,57,49,10,4,49,47,55,50,49,48,57,48,52
recG_100,53,53,0,7,6,7,1,21,22,22,21,50,52,50,55,57,60,55,57,57,56,57,57,54,54,58,56,57,56,56,55,58,55,60,55,56,56,54,51,68,53,52,54,49,47,53,55,60,55,60,56,57,55,56,58,57,53,48,49,49,47,49,50,60,28,46,49,54,17,18,55,54,50,50,51,54,60,51,53,58,56,49,57,55,51,57,55,55,56,54,56,55,57,55,62,49,59,157,153,147,52,155,153,156,166,54,54,53,54,51,59,56,55,54,55,55,7,152,155,145,155,156,43,54,152,155,156,157,62,58,55,55,57,48,55,51,42,44,44,44,44,43,43,41,43,54,157,49,57,49,51,58,144,148,51,48,56,49,162,58,56,48,50,49,54,49,50,49,51,57,59,55,54,57,54,54,57,57,56,58,56,55,56,54,53,57,54,50,60,48,54,54,55,62,54,56,58,53,61,59,62,59,58,63,58,62,64,65,53,57,61,54,12,6,53,56,57,56,57,55,56,55,56,52,59,58,56,55,57,49,55,53,49,50,59,53,47,49,57,49,8
recG_101,50,50,7,0,3,4,6,18,19,19,18,48,49,48,52,54,57,52,54,54,53,54,54,51,51,55,53,54,53,53,52,55,52,59,52,53,53,51,48,61,50,51,51,47,45,50,52,57,52,55,53,54,52,53,55,54,50,46,47,47,45,47,48,57,23,45,46,51,16,17,52,53,48,48,49,51,57,49,50,55,53,47,54,52,49,54,52,52,53,51,53,52,54,52,59,47,56,154,153,145,49,153,151,154,165,51,51,50,51,49,59,53,52,51,52,52,4,150,152,143,151,153,38,51,150,153,150,155,59,55,52,52,54,46,52,49,37,39,39,39,39,38,38,36,38,51,155,47,54,47,49,55,142,146,52,46,53,47,160,55,53,46,48,47,51,47,46,45,49,54,54,52,51,54,51,51,54,54,53,53,51,50,53,51,50,54,51,48,57,46,51,51,52,57,51,53,55,50,58,54,57,54,55,58,53,57,59,60,50,54,56,51,9,3,49,53,52,53,52,52,53,50,51,49,56,55,53,52,54,47,52,50,47,48,54,49,45,47,54,47,5
recG_102,51,51,6,3,0,1,5,17,18,18,17,51,50,51,53,55,58,53,55,55,54,55,55,52,52,56,54,55,54,54,53,56,53,60,53,54,54,52,47,62,51,52,52,50,48,51,51,58,53,58,54,55,53,52,56,55,51,49,50,50,48,50,51,58,24,42,43,52,15,16,53,56,51,51,52,52,58,52,51,56,54,50,55,53,52,55,53,53,54,52,54,53,55,53,60,50,57,155,154,146,50,154,152,155,164,54,54,53,52,52,60,54,53,52,53,53,3,151,153,144,153,154,39,52,151,154,153,156,60,56,53,53,55,49,53,52,38,40,40,40,40,39,39,37,39,52,156,50,55,50,52,56,143,147,49,49,54,50,159,56,54,49,51,50,52,50,49,48,52,55,55,53,52,55,52,52,55,55,54,54,52,51,54,52,51,55,52,51,58,49,52,52,53,58,52,54,56,51,59,55,58,55,56,59,54,58,60,61,51,55,57,52,8,2,50,54,53,54,53,53,54,51,52,50,57,56,54,53,55,50,53,51,50,51,55,50,48,50,55,50,4
recG_103,52,52,7,4,1,0,6,18,19,19,18,52,51,52,54,56,59,54,56,56,55,56,56,53,53,57,55,56,55,55,54,57,54,61,54,53,55,53,48,63,52,53,53,51,49,52,52,59,54,59,55,56,54,53,57,56,52,50,51,51,49,51,52,59,25,43,44,53,16,17,54,57,52,52,53,53,59,53,52,57,55,51,56,54,53,56,54,54,55,53,55,54,56,54,61,51,58,156,155,147,51,155,153,156,165,55,55,54,53,53,61,55,54,53,54,54,2,151,154,145,153,155,40,53,152,155,154,157,61,57,54,54,56,50,54,53,39,41,41,41,41,40,40,38,40,53,157,51,56,51,53,57,144,148,50,50,55,51,160,57,55,50,52,51,53,51,50,49,53,56,56,54,53,56,53,53,56,56,55,55,53,52,55,53,52,56,53,52,59,50,53,53,54,59,53,55,57,52,60,56,59,56,57,60,55,59,61,62,52,56,58,53,9,1,51,55,54,55,54,54,55,52,53,51,58,57,55,54,56,51,54,52,51,52,56,51,49,51,56,51,3
recG_104,52,52,1,6,5,6,0,20,21,21,20,49,51,49,54,56,59,54,56,56,55,56,56,53,53,57,55,56,55,55,54,57,54,59,54,55,55,53,50,67,52,53,53,48,46,52,54,59,54,59,55,56,54,55,57,56,52,47,48,48,46,48,49,59,27,47,48,53,16,17,54,53,49,49,50,53,59,50,52,57,55,48,56,54,50,56,54,54,55,53,55,54,56,54,61,48,58,156,152,147,51,154,152,155,165,53,53,52,53,50,59,55,54,53,54,54,6,151,154,145,154,155,42,53,151,154,155,156,61,57,54,54,56,47,54,50,41,43,43,43,43,42,42,40,42,53,156,48,56,48,50,57,143,148,52,47,55,48,161,57,55,47,49,48,53,48,49,48,50,56,58,54,53,56,53,53,56,56,55,57,55,54,55,53,52,56,53,49,59,47,53,53,54,61,53,55,57,52,60,58,61,58,57,62,57,61,63,64,52,56,60,53,11,5,52,55,56,55,56,54,55,54,55,51,58,57,55,54,56,48,54,52,48,49,58,52,46,48,56,48,7
recG_105,51,51,21,18,17,18,20,0,1,3,2,51,50,51,51,53,56,53,53,53,52,53,53,52,50,52,52,53,52,52,51,54,51,58,53,52,52,50,45,61,51,52,52,50,50,51,47,54,51,54,52,53,53,48,57,53,51,49,48,50,48,50,49,56,25,46,45,52,19,20,49,54,51,51,52,52,58,52,51,54,52,50,53,53,50,53,51,49,52,52,52,51,53,51,58,50,55,150,154,145,50,154,152,155,161,52,52,51,52,50,58,54,53,50,51,51,18,149,148,143,152,149,41,52,151,154,151,156,56,54,51,51,53,49,51,52,38,40,40,40,40,41,39,39,39,50,160,50,53,50,52,54,144,147,50,49,52,50,159,54,52,49,51,50,52,50,49,48,52,53,53,51,50,53,48,52,53,53,52,52,50,51,52,54,49,53,52,51,56,49,50,50,51,56,50,52,54,51,57,51,54,53,52,55,52,54,56,59,51,53,55,50,17,17,48,52,51,52,51,53,50,49,50,50,55,54,52,51,53,50,53,52,50,51,53,48,50,50,53,50,19
recG_106,50,50,22,19,18,19,21,1,0,2,1,52,49,52,52,54,57,52,54,54,53,54,54,51,49,53,51,54,53,53,52,55,52,59,52,53,53,51,46,62,50,51,51,51,51,50,48,55,52,55,53,52,54,49,58,54,50,50,49,51,49,51,50,57,26,47,46,51,20,21,48,55,52,52,53,51,57,53,50,55,53,51,54,54,51,54,52,48,53,51,53,50,52,52,59,51,54,149,155,146,49,155,153,156,160,53,53,52,51,51,59,53,52,51,50,52,19,150,147,144,153,148,42,51,152,155,152,157,57,55,52,52,54,50,52,53,39,41,41,41,41,42,40,40,40,51,161,51,54,51,53,55,145,148,51,50,53,51,160,53,53,50,52,51,51,51,50,49,53,54,54,52,51,54,47,51,54,54,53,53,51,52,53,55,50,54,51,52,55,50,51,51,52,55,51,53,55,50,56,50,53,52,51,54,51,53,55,58,50,54,54,51,18,18,49,53,52,53,52,52,49,50,49,49,56,55,53,52,54,51,52,51,51,52,54,49,51,51,54,51,20
recG_107,50,50,22,19,18,19,21,3,2,0,1,52,49,52,52,54,57,52,54,54,53,52,54,51,49,53,51,54,53,53,52,55,52,57,52,53,53,51,46,60,50,51,51,51,51,50,48,55,52,53,53,52,54,49,58,54,50,50,49,51,49,51,50,57,26,47,46,51,20,21,48,55,52,52,53,51,59,53,50,55,51,51,54,54,51,54,52,48,53,51,53,50,52,52,59,51,52,149,153,144,49,153,151,154,158,53,53,52,51,51,57,53,52,51,50,52,19,148,147,142,151,148,42,51,150,153,150,155,57,55,52,52,54,50,50,53,39,41,41,41,43,42,40,40,42,49,159,51,54,51,53,55,143,146,51,50,51,51,160,51,51,50,52,51,51,51,50,49,53,54,54,52,51,54,47,51,54,54,53,53,51,52,53,55,50,54,51,52,55,50,51,51,52,55,51,53,55,50,56,50,53,52,51,54,51,53,55,58,50,54,54,51,18,18,49,53,52,53,52,52,49,50,49,49,56,53,53,52,54,51,52,51,51,52,54,49,51,51,54,51,20
